join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,16366,16366,100.00,104846,104846,100.00,6.4063301967493584,3.5390858974114415
1996,1997,1,941,16366,5.75,5013,104846,4.78,5.3273113708820404,3.6096150009974067
1996,1998,2,18,16366,0.11,23,104846,0.02,1.2777777777777778,3.7391304347826087
1997,1997,0,5847,5847,100.00,40833,40833,100.00,6.9835813237557722,3.5795067714838488
1997,1998,1,211,5847,3.61,1651,40833,4.04,7.8246445497630332,3.3403997577225924
1997,1999,2,72,5847,1.23,632,40833,1.55,8.7777777777777778,3.3560126582278481
1997,2000,3,61,5847,1.04,622,40833,1.52,10.1967213114754098,3.3954983922829582
1997,2001,4,49,5847,0.84,394,40833,0.96,8.0408163265306122,3.2766497461928934
1997,2002,5,36,5847,0.62,291,40833,0.71,8.0833333333333333,3.2439862542955326
1997,2003,6,36,5847,0.62,481,40833,1.18,13.3611111111111111,3.4417879417879418
1997,2004,7,32,5847,0.55,383,40833,0.94,11.9687500000000000,3.1240208877284595
1997,2005,8,33,5847,0.56,259,40833,0.63,7.8484848484848485,3.3976833976833977
1997,2006,9,25,5847,0.43,159,40833,0.39,6.3600000000000000,3.2924528301886792
1997,2007,10,14,5847,0.24,85,40833,0.21,6.0714285714285714,3.2470588235294118
1997,2008,11,16,5847,0.27,179,40833,0.44,11.1875000000000000,3.1229050279329609
1998,1998,0,1703,1703,100.00,18784,18784,100.00,11.0299471520845567,3.5268845826235094
1998,1999,1,130,1703,7.63,972,18784,5.17,7.4769230769230769,3.5061728395061728
1998,2000,2,83,1703,4.87,849,18784,4.52,10.2289156626506024,3.3616018845700824
1998,2001,3,68,1703,3.99,678,18784,3.61,9.9705882352941176,3.3421828908554572
1998,2002,4,49,1703,2.88,369,18784,1.96,7.5306122448979592,3.3956639566395664
1998,2003,5,49,1703,2.88,587,18784,3.13,11.9795918367346939,3.3356047700170358
1998,2004,6,42,1703,2.47,600,18784,3.19,14.2857142857142857,3.3858333333333333
1998,2005,7,43,1703,2.52,273,18784,1.45,6.3488372093023256,3.4212454212454212
1998,2006,8,33,1703,1.94,243,18784,1.29,7.3636363636363636,3.3230452674897119
1998,2007,9,24,1703,1.41,109,18784,0.58,4.5416666666666667,3.4541284403669725
1998,2008,10,19,1703,1.12,81,18784,0.43,4.2631578947368421,3.3641975308641975
1999,1999,0,5761,5761,100.00,77296,77296,100.00,13.4171150841867731,3.6242237631960257
1999,2000,1,1400,5761,24.30,12665,77296,16.39,9.0464285714285714,3.5227793130675089
1999,2001,2,673,5761,11.68,4871,77296,6.30,7.2377414561664190,3.4703346335454732
1999,2002,3,527,5761,9.15,3685,77296,4.77,6.9924098671726755,3.3769335142469471
1999,2003,4,461,5761,8.00,4151,77296,5.37,9.0043383947939262,3.4748253432907733
1999,2004,5,373,5761,6.47,3735,77296,4.83,10.0134048257372654,3.4937081659973226
1999,2005,6,301,5761,5.22,2071,77296,2.68,6.8803986710963455,3.6508932882665379
1999,2006,7,211,5761,3.66,1108,77296,1.43,5.2511848341232227,3.5636281588447653
1999,2007,8,168,5761,2.92,1172,77296,1.52,6.9761904761904762,3.4752559726962457
1999,2008,9,134,5761,2.33,683,77296,0.88,5.0970149253731343,3.4919472913616398
2000,2000,0,7751,7751,100.00,113138,113138,100.00,14.5965681847503548,3.5902349343279888
2000,2001,1,1080,7751,13.93,9079,113138,8.02,8.4064814814814815,3.4585306751844917
2000,2002,2,620,7751,8.00,4849,113138,4.29,7.8209677419354839,3.4023510002062281
2000,2003,3,495,7751,6.39,5227,113138,4.62,10.5595959595959596,3.4251960971876794
2000,2004,4,401,7751,5.17,4269,113138,3.77,10.6458852867830424,3.4834855938158819
2000,2005,5,331,7751,4.27,2616,113138,2.31,7.9033232628398792,3.5445336391437309
2000,2006,6,244,7751,3.15,1614,113138,1.43,6.6147540983606557,3.4423791821561338
2000,2007,7,183,7751,2.36,1274,113138,1.13,6.9617486338797814,3.4831240188383046
2000,2008,8,165,7751,2.13,1138,113138,1.01,6.8969696969696970,3.4876977152899824
2001,2001,0,4460,4460,100.00,60764,60764,100.00,13.6242152466367713,3.5615989730761635
2001,2002,1,578,4460,12.96,4978,60764,8.19,8.6124567474048443,3.4246685415829650
2001,2003,2,372,4460,8.34,4035,60764,6.64,10.8467741935483871,3.4677819083023544
2001,2004,3,278,4460,6.23,3183,60764,5.24,11.4496402877697842,3.4798931825322023
2001,2005,4,211,4460,4.73,1769,60764,2.91,8.3838862559241706,3.5791407574901074
2001,2006,5,154,4460,3.45,1093,60764,1.80,7.0974025974025974,3.4135407136322049
2001,2007,6,128,4460,2.87,698,60764,1.15,5.4531250000000000,3.5028653295128940
2001,2008,7,94,4460,2.11,606,60764,1.00,6.4468085106382979,3.5123762376237624
2002,2002,0,2914,2914,100.00,44278,44278,100.00,15.1949210706932052,3.4846650706897331
2002,2003,1,499,2914,17.12,5269,44278,11.90,10.5591182364729459,3.4312013664832036
2002,2004,2,310,2914,10.64,3635,44278,8.21,11.7258064516129032,3.3858321870701513
2002,2005,3,233,2914,8.00,1821,44278,4.11,7.8154506437768240,3.4577155409115870
2002,2006,4,152,2914,5.22,1024,44278,2.31,6.7368421052631579,3.3974609375000000
