,Join Year,Y 1,Y 2,Y 3,Y 4,Y 5,Y 6,Y 7,Y 8,Y 9,Y 10,Y 11
Cohort 1996,104846,5013,23,,,,,,,,,
Cohort 1997,40833,1651,632,622,394,291,481,383,259,159,85,179
Cohort 1998,18784,972,849,678,369,587,600,273,243,109,81,
Cohort 1999,77296,12665,4871,3685,4151,3735,2071,1108,1172,683,,
Cohort 2000,113138,9079,4849,5227,4269,2616,1614,1274,1138,,,
Cohort 2001,60764,4978,4035,3183,1769,1093,698,606,,,,
Cohort 2002,44278,5269,3635,1821,1024,853,659,,,,,
Cohort 2003,49006,7929,3074,2096,1210,1023,,,,,,
Cohort 2004,53005,5260,2539,1575,1088,,,,,,,
Cohort 2005,100863,7103,3495,2437,,,,,,,,
Cohort 2006,59439,5608,2750,,,,,,,,,
Cohort 2007,54078,5549,,,,,,,,,,
Cohort 2008,60684,,,,,,,,,,,
