,Join Year,Y 1,Y 2,Y 3,Y 4,Y 5,Y 6,Y 7,Y 8,Y 9,Y 10,Y 11
Cohort 1996,6.4,5.3,1.3,,,,,,,,,
Cohort 1997,7.0,7.8,8.8,10.2,8.0,8.1,13.4,12.0,7.8,6.4,6.1,11.2
Cohort 1998,11.0,7.5,10.2,10.0,7.5,12.0,14.3,6.3,7.4,4.5,4.3,
Cohort 1999,13.4,9.0,7.2,7.0,9.0,10.0,6.9,5.3,7.0,5.1,,
Cohort 2000,14.6,8.4,7.8,10.6,10.6,7.9,6.6,7.0,6.9,,,
Cohort 2001,13.6,8.6,10.8,11.4,8.4,7.1,5.5,6.4,,,,
Cohort 2002,15.2,10.6,11.7,7.8,6.7,7.2,6.2,,,,,
Cohort 2003,14.6,12.4,8.7,8.5,7.0,6.5,,,,,,
Cohort 2004,16.4,9.2,7.5,6.5,6.4,,,,,,,
Cohort 2005,17.8,8.7,6.9,6.9,,,,,,,,
Cohort 2006,15.5,9.0,7.4,,,,,,,,,
Cohort 2007,16.1,9.5,,,,,,,,,,
Cohort 2008,14.4,,,,,,,,,,,
