join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,12979,12979,100.00,33029,33029,100.00,2,3.4348299978806503
1996,1997,1,492,12979,3.79,1126,33029,3.41,2,3.5737122557726465
1997,1997,0,4434,4434,100.00,11724,11724,100.00,2,3.5358239508700102
1997,1998,1,98,4434,2.21,308,11724,2.63,3,3.1980519480519481
1997,1999,2,52,4434,1.17,159,11724,1.36,3,3.1194968553459119
1997,2000,3,33,4434,0.74,114,11724,0.97,3,3.3421052631578947
1997,2001,4,24,4434,0.54,70,11724,0.60,2,3.5142857142857143
1997,2002,5,20,4434,0.45,62,11724,0.53,3,3.2419354838709677
1997,2003,6,24,4434,0.54,96,11724,0.82,4,3.2708333333333333
1997,2004,7,22,4434,0.50,75,11724,0.64,3,2.9266666666666667
1997,2005,8,15,4434,0.34,41,11724,0.35,2,3.1707317073170732
1997,2006,9,11,4434,0.25,29,11724,0.25,2,3.0000000000000000
1997,2007,10,6,4434,0.14,10,11724,0.09,1,3.2500000000000000
1997,2008,11,12,4434,0.27,43,11724,0.37,3,2.9767441860465116
1998,1998,0,1281,1281,100.00,5258,5258,100.00,4,3.4370483073411944
1998,1999,1,75,1281,5.85,237,5258,4.51,3,3.3924050632911392
1998,2000,2,48,1281,3.75,178,5258,3.39,3,3.1685393258426966
1998,2001,3,37,1281,2.89,129,5258,2.45,3,3.2480620155038760
1998,2002,4,34,1281,2.65,70,5258,1.33,2,3.1000000000000000
1998,2003,5,31,1281,2.42,97,5258,1.84,3,3.4484536082474227
1998,2004,6,29,1281,2.26,110,5258,2.09,3,3.2727272727272727
1998,2005,7,23,1281,1.80,48,5258,0.91,2,3.4791666666666667
1998,2006,8,22,1281,1.72,44,5258,0.84,2,3.5227272727272727
1998,2007,9,15,1281,1.17,31,5258,0.59,2,3.1290322580645161
1998,2008,10,11,1281,0.86,14,5258,0.27,1,3.0357142857142857
1999,1999,0,4324,4324,100.00,19208,19208,100.00,4,3.4488234069137859
1999,2000,1,705,4324,16.30,2201,19208,11.46,3,3.2825988187187642
1999,2001,2,339,4324,7.84,811,19208,4.22,2,3.2799013563501850
1999,2002,3,261,4324,6.04,616,19208,3.21,2,3.2353896103896104
1999,2003,4,250,4324,5.78,741,19208,3.86,2,3.3130904183535762
1999,2004,5,229,4324,5.30,692,19208,3.60,3,3.4450867052023121
1999,2005,6,152,4324,3.52,347,19208,1.81,2,3.4596541786743516
1999,2006,7,102,4324,2.36,224,19208,1.17,2,3.4062500000000000
1999,2007,8,73,4324,1.69,221,19208,1.15,3,3.2533936651583710
1999,2008,9,54,4324,1.25,128,19208,0.67,2,3.3125000000000000
2000,2000,0,6087,6087,100.00,30729,30729,100.00,5,3.5007972924598913
2000,2001,1,618,6087,10.15,1813,30729,5.90,2,3.3028130170987314
2000,2002,2,369,6087,6.06,962,30729,3.13,2,3.2338877338877339
2000,2003,3,325,6087,5.34,1041,30729,3.39,3,3.2737752161383285
2000,2004,4,278,6087,4.57,947,30729,3.08,3,3.3278775079197466
2000,2005,5,207,6087,3.40,539,30729,1.75,2,3.4786641929499072
2000,2006,6,157,6087,2.58,340,30729,1.11,2,3.3264705882352941
2000,2007,7,107,6087,1.76,270,30729,0.88,2,3.3240740740740741
2000,2008,8,105,6087,1.72,247,30729,0.80,2,3.4534412955465587
2001,2001,0,3613,3613,100.00,17254,17254,100.00,4,3.4998261272748348
2001,2002,1,382,3613,10.57,1115,17254,6.46,2,3.3103139013452915
2001,2003,2,261,3613,7.22,935,17254,5.42,3,3.4379679144385027
2001,2004,3,222,3613,6.14,772,17254,4.47,3,3.3782383419689119
2001,2005,4,158,3613,4.37,456,17254,2.64,2,3.5745614035087719
2001,2006,5,114,3613,3.16,293,17254,1.70,2,3.4027303754266212
2001,2007,6,76,3613,2.10,188,17254,1.09,2,3.3962765957446809
2001,2008,7,65,3613,1.80,167,17254,0.97,2,3.3772455089820359
2002,2002,0,2382,2382,100.00,12058,12058,100.00,5,3.4123403549510698
2002,2003,1,336,2382,14.11,1251,12058,10.37,3,3.4200639488409273
2002,2004,2,230,2382,9.66,900,12058,7.46,3,3.3133333333333333
2002,2005,3,171,2382,7.18,496,12058,4.11,2,3.3336693548387097
2002,2006,4,98,2382,4.11,255,12058,2.11,2,3.1529411764705882
2002,2007,5,82,2382,3.44,197,12058,1.63,2,3.3578680203045685
2002,2008,6,57,2382,2.39,141,12058,1.17,2,3.1099290780141844
2003,2003,0,2730,2730,100.00,13904,13904,100.00,5,3.4105293440736479
2003,2004,1,461,2730,16.89,1998,13904,14.37,4,3.3383383383383383
2003,2005,2,256,2730,9.38,793,13904,5.70,3,3.3675914249684741
2003,2006,3,187,2730,6.85,584,13904,4.20,3,3.2303082191780822
2003,2007,4,120,2730,4.40,322,13904,2.32,2,3.2981366459627329
2003,2008,5,95,2730,3.48,257,13904,1.85,2,3.2684824902723735
2004,2004,0,2877,2877,100.00,16804,16804,100.00,5,3.3405141632944537
2004,2005,1,416,2877,14.46,1463,16804,8.71,3,3.3164730006835270
2004,2006,2,222,2877,7.72,710,16804,4.23,3,3.2711267605633803
2004,2007,3,170,2877,5.91,465,16804,2.77,2,3.4279569892473118
2004,2008,4,112,2877,3.89,324,16804,1.93,2,3.3148148148148148
2005,2005,0,4930,4930,100.00,30902,30902,100.00,6,3.3403986796971070
2005,2006,1,560,4930,11.36,1918,30902,6.21,3,3.2958811261730970
2005,2007,2,344,4930,6.98,1015,30902,3.28,2,3.2261083743842365
2005,2008,3,248,4930,5.03,711,30902,2.30,2,3.2566807313642757
2006,2006,0,3282,3282,100.00,18871,18871,100.00,5,3.3973027396534365
2006,2007,1,417,3282,12.71,1481,18871,7.85,3,3.2008777852802161
2006,2008,2,246,3282,7.50,779,18871,4.13,3,3.2888318356867779
2007,2007,0,2811,2811,100.00,17655,17655,100.00,6,3.4103086944208440
2007,2008,1,396,2811,14.09,1544,17655,8.75,3,3.3471502590673575
2008,2008,0,3550,3550,100.00,20224,20224,100.00,5,3.5203965585443038
