join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,11636,11636,100.00,23023,23023,100.00,1,3.5110975980541198
1996,1997,1,405,11636,3.48,756,23023,3.28,1,3.6494708994708995
1997,1997,0,4225,4225,100.00,9407,9407,100.00,2,3.6175188689273945
1997,1998,1,74,4225,1.75,208,9407,2.21,2,3.2884615384615385
1997,1999,2,34,4225,0.80,85,9407,0.90,2,3.5529411764705882
1997,2000,3,33,4225,0.78,89,9407,0.95,2,3.4831460674157303
1997,2001,4,18,4225,0.43,54,9407,0.57,3,3.4259259259259259
1997,2002,5,19,4225,0.45,33,9407,0.35,1,3.2424242424242424
1997,2003,6,18,4225,0.43,67,9407,0.71,3,3.4328358208955224
1997,2004,7,21,4225,0.50,46,9407,0.49,2,3.2282608695652174
1997,2005,8,11,4225,0.26,29,9407,0.31,2,3.3448275862068966
1997,2006,9,11,4225,0.26,20,9407,0.21,1,3.3750000000000000
1997,2007,10,7,4225,0.17,8,9407,0.09,1,3.6875000000000000
1997,2008,11,7,4225,0.17,32,9407,0.34,4,3.0625000000000000
1998,1998,0,1153,1153,100.00,3811,3811,100.00,3,3.5397533455785883
1998,1999,1,57,1153,4.94,153,3811,4.01,2,3.3594771241830065
1998,2000,2,42,1153,3.64,133,3811,3.49,3,3.3383458646616541
1998,2001,3,41,1153,3.56,98,3811,2.57,2,3.5918367346938776
1998,2002,4,26,1153,2.25,55,3811,1.44,2,3.2000000000000000
1998,2003,5,26,1153,2.25,63,3811,1.65,2,3.6904761904761905
1998,2004,6,28,1153,2.43,73,3811,1.92,2,3.3767123287671233
1998,2005,7,21,1153,1.82,32,3811,0.84,1,3.5625000000000000
1998,2006,8,19,1153,1.65,35,3811,0.92,1,3.5714285714285714
1998,2007,9,11,1153,0.95,25,3811,0.66,2,2.9800000000000000
1998,2008,10,10,1153,0.87,15,3811,0.39,1,3.4333333333333333
1999,1999,0,4078,4078,100.00,14599,14599,100.00,3,3.5230495239399959
1999,2000,1,603,4078,14.79,1595,14599,10.93,2,3.4188087774294671
1999,2001,2,308,4078,7.55,656,14599,4.49,2,3.4237804878048780
1999,2002,3,228,4078,5.59,463,14599,3.17,2,3.3585313174946004
1999,2003,4,232,4078,5.69,550,14599,3.77,2,3.4263636363636364
1999,2004,5,209,4078,5.13,572,14599,3.92,2,3.5174825174825175
