join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,4505,4505,100.00,5658,5658,100.00,1,3.6645457758925415
1996,1997,1,56,4505,1.24,66,5658,1.17,1,3.8484848484848485
1996,1998,2,1,4505,0.02,1,5658,0.02,1,2.0000000000000000
1997,1997,0,1461,1461,100.00,1960,1960,100.00,1,3.6321428571428571
1997,1998,1,16,1461,1.10,24,1960,1.22,1,3.3750000000000000
1997,1999,2,6,1461,0.41,6,1960,0.31,1,3.1666666666666667
1997,2000,3,1,1461,0.07,2,1960,0.10,2,2.5000000000000000
1997,2001,4,1,1461,0.07,2,1960,0.10,2,3.5000000000000000
1997,2002,5,3,1461,0.21,4,1960,0.20,1,2.2500000000000000
1997,2003,6,3,1461,0.21,6,1960,0.31,2,3.7500000000000000
1997,2004,7,3,1461,0.21,6,1960,0.31,2,3.4166666666666667
1997,2005,8,2,1461,0.14,3,1960,0.15,1,3.8333333333333333
1997,2006,9,1,1461,0.07,1,1960,0.05,1,4.0000000000000000
1997,2007,10,1,1461,0.07,1,1960,0.05,1,3.5000000000000000
1997,2008,11,1,1461,0.07,1,1960,0.05,1,3.5000000000000000
1998,1998,0,481,481,100.00,790,790,100.00,1,3.6037974683544304
1998,1999,1,18,481,3.74,26,790,3.29,1,3.6923076923076923
1998,2000,2,12,481,2.49,18,790,2.28,1,2.9444444444444444
1998,2001,3,11,481,2.29,13,790,1.65,1,3.4615384615384615
1998,2002,4,8,481,1.66,9,790,1.14,1,4.1111111111111111
1998,2003,5,11,481,2.29,20,790,2.53,1,4.2000000000000000
1998,2004,6,10,481,2.08,15,790,1.90,1,3.8000000000000000
1998,2005,7,4,481,0.83,7,790,0.89,1,3.4285714285714286
1998,2006,8,6,481,1.25,11,790,1.39,1,3.9090909090909091
1998,2007,9,2,481,0.42,3,790,0.38,1,3.8333333333333333
1998,2008,10,2,481,0.42,2,790,0.25,1,3.5000000000000000
1999,1999,0,1848,1848,100.00,3419,3419,100.00,1,3.6440479672418836
1999,2000,1,134,1848,7.25,205,3419,6.00,1,3.5902439024390244
1999,2001,2,79,1848,4.27,108,3419,3.16,1,3.5277777777777778
1999,2002,3,63,1848,3.41,76,3419,2.22,1,3.5394736842105263
1999,2003,4,60,1848,3.25,73,3419,2.14,1,3.6232876712328767
1999,2004,5,63,1848,3.41,84,3419,2.46,1,3.4464285714285714
1999,2005,6,38,1848,2.06,44,3419,1.29,1,3.7613636363636364
1999,2006,7,23,1848,1.24,30,3419,0.88,1,3.2166666666666667
1999,2007,8,16,1848,0.87,21,3419,0.61,1,3.8333333333333333
1999,2008,9,17,1848,0.92,27,3419,0.79,1,3.7592592592592593
2000,2000,0,2796,2796,100.00,5283,5283,100.00,1,3.6681809577891350
2000,2001,1,176,2796,6.29,244,5283,4.62,1,3.5286885245901639
2000,2002,2,84,2796,3.00,111,5283,2.10,1,3.7027027027027027
2000,2003,3,90,2796,3.22,124,5283,2.35,1,3.6330645161290323
2000,2004,4,75,2796,2.68,110,5283,2.08,1,3.6318181818181818
2000,2005,5,63,2796,2.25,89,5283,1.68,1,3.7640449438202247
2000,2006,6,54,2796,1.93,76,5283,1.44,1,3.8223684210526316
2000,2007,7,36,2796,1.29,57,5283,1.08,1,3.4385964912280702
2000,2008,8,34,2796,1.22,53,5283,1.00,1,3.6698113207547170
2001,2001,0,1632,1632,100.00,3060,3060,100.00,1,3.6500000000000000
2001,2002,1,102,1632,6.25,156,3060,5.10,1,3.4871794871794872
2001,2003,2,78,1632,4.78,121,3060,3.95,1,3.5413223140495868
2001,2004,3,56,1632,3.43,78,3060,2.55,1,3.6538461538461538
2001,2005,4,48,1632,2.94,60,3060,1.96,1,3.5666666666666667
2001,2006,5,22,1632,1.35,32,3060,1.05,1,3.3906250000000000
2001,2007,6,22,1632,1.35,27,3060,0.88,1,3.8703703703703704
2001,2008,7,18,1632,1.10,23,3060,0.75,1,4.0217391304347826
2002,2002,0,1205,1205,100.00,2361,2361,100.00,1,3.5853451927149513
2002,2003,1,110,1205,9.13,167,2361,7.07,1,3.6167664670658683
2002,2004,2,76,1205,6.31,125,2361,5.29,1,3.3320000000000000
2002,2005,3,52,1205,4.32,76,2361,3.22,1,3.4342105263157895
2002,2006,4,39,1205,3.24,54,2361,2.29,1,3.6296296296296296
2002,2007,5,22,1205,1.83,34,2361,1.44,1,3.3970588235294118
2002,2008,6,23,1205,1.91,35,2361,1.48,1,3.3000000000000000
2003,2003,0,1412,1412,100.00,2920,2920,100.00,2,3.6017123287671233
2003,2004,1,155,1412,10.98,262,2920,8.97,1,3.4236641221374046
2003,2005,2,93,1412,6.59,128,2920,4.38,1,3.7148437500000000
2003,2006,3,66,1412,4.67,87,2920,2.98,1,3.6666666666666667
2003,2007,4,53,1412,3.75,68,2920,2.33,1,3.7573529411764706
2003,2008,5,32,1412,2.27,44,2920,1.51,1,3.6363636363636364
2004,2004,0,1652,1652,100.00,3339,3339,100.00,2,3.5235100329439952
2004,2005,1,164,1652,9.93,254,3339,7.61,1,3.5767716535433071
2004,2006,2,85,1652,5.15,119,3339,3.56,1,3.3319327731092437
2004,2007,3,59,1652,3.57,95,3339,2.85,1,3.6052631578947368
2004,2008,4,42,1652,2.54,51,3339,1.53,1,3.8823529411764706
2005,2005,0,2935,2935,100.00,6237,6237,100.00,2,3.5555555555555556
2005,2006,1,198,2935,6.75,316,6237,5.07,1,3.4683544303797468
2005,2007,2,118,2935,4.02,161,6237,2.58,1,3.4937888198757764
2005,2008,3,85,2935,2.90,109,6237,1.75,1,3.6192660550458716
2006,2006,0,1889,1889,100.00,3823,3823,100.00,2,3.5405440753335077
2006,2007,1,136,1889,7.20,221,3823,5.78,1,3.3416289592760181
2006,2008,2,80,1889,4.24,132,3823,3.45,1,3.5492424242424242
2007,2007,0,1705,1705,100.00,3540,3540,100.00,2,3.5265536723163842
2007,2008,1,147,1705,8.62,250,3540,7.06,1,3.4780000000000000
2008,2008,0,2089,2089,100.00,4374,4374,100.00,2,3.5720164609053498
