join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,6559,6559,100.00,10245,10245,100.00,1,3.5131283552952660
1996,1997,1,142,6559,2.16,228,10245,2.23,1,3.4912280701754386
1996,1998,2,1,6559,0.02,1,10245,0.01,1,2.0000000000000000
1997,1997,0,2245,2245,100.00,3674,3674,100.00,1,3.5176918889493740
1997,1998,1,35,2245,1.56,74,3674,2.01,2,3.3243243243243243
1997,1999,2,16,2245,0.71,25,3674,0.68,1,3.6400000000000000
1997,2000,3,9,2245,0.40,13,3674,0.35,1,3.2307692307692308
1997,2001,4,6,2245,0.27,13,3674,0.35,2,3.2307692307692308
1997,2002,5,10,2245,0.45,13,3674,0.35,1,2.8461538461538462
1997,2003,6,9,2245,0.40,25,3674,0.68,2,3.3800000000000000
1997,2004,7,9,2245,0.40,17,3674,0.46,1,3.0294117647058824
1997,2005,8,6,2245,0.27,11,3674,0.30,1,3.2272727272727273
1997,2006,9,3,2245,0.13,3,3674,0.08,1,3.0000000000000000
1997,2007,10,2,2245,0.09,2,3674,0.05,1,3.2500000000000000
1997,2008,11,3,2245,0.13,8,3674,0.22,2,2.8750000000000000
1998,1998,0,737,737,100.00,1681,1681,100.00,2,3.3604997025580012
1998,1999,1,27,737,3.66,50,1681,2.97,1,3.5800000000000000
1998,2000,2,20,737,2.71,35,1681,2.08,1,2.7142857142857143
1998,2001,3,20,737,2.71,26,1681,1.55,1,3.5384615384615385
1998,2002,4,9,737,1.22,15,1681,0.89,1,3.2666666666666667
1998,2003,5,16,737,2.17,25,1681,1.49,1,3.7400000000000000
1998,2004,6,13,737,1.76,18,1681,1.07,1,3.5000000000000000
1998,2005,7,9,737,1.22,12,1681,0.71,1,3.3750000000000000
1998,2006,8,10,737,1.36,18,1681,1.07,1,3.8055555555555556
1998,2007,9,4,737,0.54,7,1681,0.42,1,3.5000000000000000
1998,2008,10,1,737,0.14,1,1681,0.06,1,4.0000000000000000
1999,1999,0,2500,2500,100.00,5918,5918,100.00,2,3.4939168638053396
1999,2000,1,263,2500,10.52,482,5918,8.14,1,3.3008298755186722
1999,2001,2,129,2500,5.16,205,5918,3.46,1,3.3463414634146341
1999,2002,3,104,2500,4.16,142,5918,2.40,1,3.3802816901408451
1999,2003,4,96,2500,3.84,172,5918,2.91,1,3.3546511627906977
1999,2004,5,94,2500,3.76,163,5918,2.75,1,3.3312883435582822
1999,2005,6,61,2500,2.44,88,5918,1.49,1,3.5340909090909091
1999,2006,7,29,2500,1.16,46,5918,0.78,1,3.0434782608695652
1999,2007,8,20,2500,0.80,29,5918,0.49,1,3.8448275862068966
1999,2008,9,22,2500,0.88,30,5918,0.51,1,3.5666666666666667
2000,2000,0,3764,3764,100.00,9269,9269,100.00,2,3.4652066026540080
2000,2001,1,270,3764,7.17,498,9269,5.37,1,3.3293172690763052
2000,2002,2,155,3764,4.12,223,9269,2.41,1,3.3946188340807175
2000,2003,3,143,3764,3.80,243,9269,2.62,1,3.2613168724279835
2000,2004,4,122,3764,3.24,218,9269,2.35,1,3.4197247706422018
2000,2005,5,100,3764,2.66,155,9269,1.67,1,3.5096774193548387
2000,2006,6,71,3764,1.89,116,9269,1.25,1,3.5387931034482759
2000,2007,7,38,3764,1.01,72,9269,0.78,1,3.2430555555555556
2000,2008,8,32,3764,0.85,53,9269,0.57,1,3.6320754716981132
2001,2001,0,2079,2079,100.00,4948,4948,100.00,2,3.4781729991915926
2001,2002,1,166,2079,7.98,297,4948,6.00,1,3.3468013468013468
2001,2003,2,125,2079,6.01,234,4948,4.73,1,3.3055555555555556
2001,2004,3,111,2079,5.34,181,4948,3.66,1,3.3425414364640884
2001,2005,4,77,2079,3.70,107,4948,2.16,1,3.5514018691588785
2001,2006,5,43,2079,2.07,64,4948,1.29,1,3.2578125000000000
2001,2007,6,36,2079,1.73,48,4948,0.97,1,3.2187500000000000
2001,2008,7,24,2079,1.15,33,4948,0.67,1,3.5909090909090909
