join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,13459,13459,100.00,40123,40123,100.00,2,3.4266879346011016
1996,1997,1,618,13459,4.59,1668,40123,4.16,2,3.4988009592326139
1996,1998,2,9,13459,0.07,9,40123,0.02,1,4.0000000000000000
1997,1997,0,4840,4840,100.00,15650,15650,100.00,3,3.5092651757188498
1997,1998,1,134,4840,2.77,533,15650,3.41,3,3.2926829268292683
1997,1999,2,53,4840,1.10,222,15650,1.42,4,3.4234234234234234
1997,2000,3,40,4840,0.83,202,15650,1.29,5,3.4257425742574257
1997,2001,4,34,4840,0.70,129,15650,0.82,3,3.2248062015503876
1997,2002,5,21,4840,0.43,107,15650,0.68,5,3.1869158878504673
1997,2003,6,25,4840,0.52,160,15650,1.02,6,3.3375000000000000
1997,2004,7,20,4840,0.41,102,15650,0.65,5,2.9117647058823529
1997,2005,8,19,4840,0.39,74,15650,0.47,3,3.2094594594594595
1997,2006,9,15,4840,0.31,34,15650,0.22,2,3.3235294117647059
1997,2007,10,7,4840,0.14,26,15650,0.17,3,2.7307692307692308
1997,2008,11,9,4840,0.19,51,15650,0.33,5,3.0882352941176471
1998,1998,0,1444,1444,100.00,6888,6888,100.00,4,3.4519454123112660
1998,1999,1,101,1444,6.99,406,6888,5.89,4,3.3990147783251232
1998,2000,2,61,1444,4.22,306,6888,4.44,5,3.2189542483660131
1998,2001,3,54,1444,3.74,267,6888,3.88,4,3.1610486891385768
1998,2002,4,40,1444,2.77,141,6888,2.05,3,3.3404255319148936
1998,2003,5,46,1444,3.19,270,6888,3.92,5,3.2833333333333333
1998,2004,6,38,1444,2.63,241,6888,3.50,6,3.2676348547717842
1998,2005,7,31,1444,2.15,122,6888,1.77,3,3.2581967213114754
1998,2006,8,30,1444,2.08,104,6888,1.51,3,3.2451923076923077
1998,2007,9,18,1444,1.25,35,6888,0.51,1,3.2714285714285714
1998,2008,10,15,1444,1.04,34,6888,0.49,2,3.3088235294117647
1999,1999,0,5148,5148,100.00,30752,30752,100.00,5,3.5790192507804370
1999,2000,1,1087,5148,21.11,4912,30752,15.97,4,3.4633550488599349
1999,2001,2,516,5148,10.02,1944,30752,6.32,3,3.3904320987654321
1999,2002,3,403,5148,7.83,1462,30752,4.75,3,3.2900136798905609
1999,2003,4,361,5148,7.01,1696,30752,5.52,4,3.4233490566037736
1999,2004,5,306,5148,5.94,1468,30752,4.77,4,3.4325613079019074
1999,2005,6,230,5148,4.47,731,30752,2.38,3,3.5554035567715458
1999,2006,7,155,5148,3.01,429,30752,1.40,2,3.4090909090909091
