join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,9598,9598,100.00,16463,16463,100.00,1,3.5790560651157140
1996,1997,1,278,9598,2.90,497,16463,3.02,1,3.7022132796780684
1996,1998,2,1,9598,0.01,1,16463,0.01,1,4.0000000000000000
1997,1997,0,3052,3052,100.00,5546,5546,100.00,1,3.6943743238369996
1997,1998,1,69,3052,2.26,146,5546,2.63,2,3.5547945205479452
1997,1999,2,28,3052,0.92,56,5546,1.01,2,3.3392857142857143
1997,2000,3,26,3052,0.85,58,5546,1.05,2,3.2931034482758621
1997,2001,4,16,3052,0.52,33,5546,0.60,2,3.3636363636363636
1997,2002,5,14,3052,0.46,23,5546,0.41,1,3.9565217391304348
1997,2003,6,17,3052,0.56,55,5546,0.99,3,3.5909090909090909
1997,2004,7,13,3052,0.43,32,5546,0.58,2,2.9375000000000000
1997,2005,8,10,3052,0.33,20,5546,0.36,2,3.5000000000000000
1997,2006,9,4,3052,0.13,8,5546,0.14,2,3.3125000000000000
1997,2007,10,5,3052,0.16,8,5546,0.14,1,3.4375000000000000
1997,2008,11,5,3052,0.16,15,5546,0.27,3,3.2000000000000000
1998,1998,0,1058,1058,100.00,2624,2624,100.00,2,3.6371951219512195
1998,1999,1,57,1058,5.39,113,2624,4.31,1,3.5132743362831858
1998,2000,2,41,1058,3.88,77,2624,2.93,1,3.6363636363636364
1998,2001,3,36,1058,3.40,76,2624,2.90,2,3.6052631578947368
1998,2002,4,28,1058,2.65,51,2624,1.94,1,3.5490196078431373
1998,2003,5,25,1058,2.36,50,2624,1.91,2,3.3700000000000000
1998,2004,6,21,1058,1.98,83,2624,3.16,3,3.5120481927710843
1998,2005,7,18,1058,1.70,35,2624,1.33,1,3.5857142857142857
1998,2006,8,22,1058,2.08,32,2624,1.22,1,3.7656250000000000
1998,2007,9,11,1058,1.04,14,2624,0.53,1,3.6785714285714286
1998,2008,10,8,1058,0.76,12,2624,0.46,1,3.5000000000000000
1999,1999,0,3855,3855,100.00,10554,10554,100.00,2,3.7660602615122229
1999,2000,1,575,3855,14.92,1218,10554,11.54,2,3.6354679802955665
1999,2001,2,290,3855,7.52,555,10554,5.26,1,3.6180180180180180
1999,2002,3,216,3855,5.60,405,10554,3.84,1,3.4888888888888889
1999,2003,4,227,3855,5.89,534,10554,5.06,2,3.4934456928838951
1999,2004,5,180,3855,4.67,412,10554,3.90,2,3.5885922330097087
1999,2005,6,141,3855,3.66,277,10554,2.62,1,3.7707581227436823
1999,2006,7,86,3855,2.23,164,10554,1.55,1,3.5365853658536585
1999,2007,8,63,3855,1.63,155,10554,1.47,2,3.6064516129032258
1999,2008,9,55,3855,1.43,101,10554,0.96,1,3.5643564356435644
2000,2000,0,5089,5089,100.00,14972,14972,100.00,2,3.7558108469142399
2000,2001,1,472,5089,9.27,997,14972,6.66,2,3.6308926780341023
2000,2002,2,288,5089,5.66,603,14972,4.03,2,3.4676616915422886
2000,2003,3,279,5089,5.48,731,14972,4.88,2,3.5177838577291382
2000,2004,4,225,5089,4.42,543,14972,3.63,2,3.5709023941068140
2000,2005,5,161,5089,3.16,331,14972,2.21,2,3.6027190332326284
2000,2006,6,117,5089,2.30,226,14972,1.51,1,3.5508849557522124
2000,2007,7,90,5089,1.77,201,14972,1.34,2,3.5323383084577114
2000,2008,8,84,5089,1.65,149,14972,1.00,1,3.5369127516778523
2001,2001,0,2947,2947,100.00,8402,8402,100.00,2,3.7536300880742680
2001,2002,1,286,2947,9.70,597,8402,7.11,2,3.6599664991624791
2001,2003,2,211,2947,7.16,559,8402,6.65,2,3.5742397137745975
2001,2004,3,169,2947,5.73,478,8402,5.69,2,3.5135983263598326
2001,2005,4,130,2947,4.41,261,8402,3.11,2,3.6628352490421456
