join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,445,445,100.00,480,480,100.00,1,3.9791666666666667
1996,1997,1,5,445,1.12,7,480,1.46,1,3.5714285714285714
1997,1997,0,253,253,100.00,285,285,100.00,1,3.7543859649122807
1997,1998,1,1,253,0.40,1,285,0.35,1,3.0000000000000000
1997,2001,4,1,253,0.40,1,285,0.35,1,4.0000000000000000
1998,1998,0,92,92,100.00,106,106,100.00,1,3.6509433962264151
1998,1999,1,3,92,3.26,4,106,3.77,1,4.0000000000000000
1998,2000,2,1,92,1.09,1,106,0.94,1,3.0000000000000000
1998,2001,3,2,92,2.17,2,106,1.89,1,2.5000000000000000
1998,2002,4,1,92,1.09,2,106,1.89,2,4.5000000000000000
1998,2003,5,4,92,4.35,6,106,5.66,1,2.5000000000000000
1998,2004,6,3,92,3.26,5,106,4.72,1,3.3000000000000000
1998,2005,7,3,92,3.26,4,106,3.77,1,3.5000000000000000
1998,2007,9,1,92,1.09,1,106,0.94,1,3.5000000000000000
1998,2008,10,1,92,1.09,4,106,3.77,4,3.0000000000000000
1999,1999,0,626,626,100.00,814,814,100.00,1,3.9643734643734644
1999,2000,1,30,626,4.79,34,814,4.18,1,4.2058823529411765
1999,2001,2,16,626,2.56,17,814,2.09,1,3.5294117647058824
1999,2002,3,8,626,1.28,8,814,0.98,1,3.7500000000000000
1999,2003,4,21,626,3.35,27,814,3.32,1,4.0740740740740741
1999,2004,5,26,626,4.15,35,814,4.30,1,3.9000000000000000
1999,2005,6,21,626,3.35,30,814,3.69,1,4.1333333333333333
1999,2006,7,6,626,0.96,9,814,1.11,1,3.5555555555555556
1999,2007,8,6,626,0.96,7,814,0.86,1,4.0714285714285714
1999,2008,9,10,626,1.60,19,814,2.33,1,3.8684210526315789
2000,2000,0,789,789,100.00,1017,1017,100.00,1,3.9242871189773845
2000,2001,1,30,789,3.80,37,1017,3.64,1,3.8108108108108108
2000,2002,2,21,789,2.66,24,1017,2.36,1,3.9583333333333333
2000,2003,3,34,789,4.31,49,1017,4.82,1,3.9081632653061224
2000,2004,4,31,789,3.93,43,1017,4.23,1,4.0232558139534884
2000,2005,5,24,789,3.04,29,1017,2.85,1,3.9827586206896552
2000,2006,6,25,789,3.17,30,1017,2.95,1,3.7833333333333333
2000,2007,7,8,789,1.01,9,1017,0.88,1,4.2777777777777778
2000,2008,8,12,789,1.52,12,1017,1.18,1,3.6250000000000000
2001,2001,0,317,317,100.00,406,406,100.00,1,3.8275862068965517
2001,2002,1,17,317,5.36,27,406,6.65,1,2.8148148148148148
2001,2003,2,17,317,5.36,23,406,5.67,1,3.8043478260869565
2001,2004,3,23,317,7.26,33,406,8.13,1,3.9696969696969697
2001,2005,4,15,317,4.73,18,406,4.43,1,3.6944444444444444
2001,2006,5,10,317,3.15,14,406,3.45,1,3.6428571428571429
2001,2007,6,4,317,1.26,8,406,1.97,2,3.1250000000000000
2001,2008,7,9,317,2.84,18,406,4.43,2,3.8611111111111111
2002,2002,0,328,328,100.00,434,434,100.00,1,3.7165898617511521
2002,2003,1,23,328,7.01,32,434,7.37,1,3.5781250000000000
2002,2004,2,27,328,8.23,39,434,8.99,1,4.0512820512820513
2002,2005,3,17,328,5.18,27,434,6.22,1,3.5925925925925926
2002,2006,4,11,328,3.35,13,434,3.00,1,3.5769230769230769
2002,2007,5,9,328,2.74,10,434,2.30,1,3.4000000000000000
2002,2008,6,5,328,1.52,7,434,1.61,1,3.9285714285714286
2003,2003,0,456,456,100.00,585,585,100.00,1,3.7538461538461538
2003,2004,1,56,456,12.28,81,585,13.85,1,3.7592592592592593
2003,2005,2,38,456,8.33,54,585,9.23,1,3.8240740740740741
2003,2006,3,30,456,6.58,42,585,7.18,1,3.7142857142857143
2003,2007,4,19,456,4.17,21,585,3.59,1,3.5952380952380952
2003,2008,5,21,456,4.61,31,585,5.30,1,3.7419354838709677
2004,2004,0,608,608,100.00,816,816,100.00,1,3.8498774509803922
2004,2005,1,66,608,10.86,88,816,10.78,1,3.5681818181818182
2004,2006,2,46,608,7.57,63,816,7.72,1,3.6904761904761905
2004,2007,3,27,608,4.44,35,816,4.29,1,3.6142857142857143
2004,2008,4,18,608,2.96,26,816,3.19,1,4.0961538461538462
2005,2005,0,1004,1004,100.00,1387,1387,100.00,1,3.7602739726027397
2005,2006,1,57,1004,5.68,70,1387,5.05,1,3.8357142857142857
2005,2007,2,44,1004,4.38,60,1387,4.33,1,3.7750000000000000
2005,2008,3,45,1004,4.48,62,1387,4.47,1,3.7096774193548387
2006,2006,0,657,657,100.00,898,898,100.00,1,3.6670378619153675
2006,2007,1,32,657,4.87,57,898,6.35,1,3.5000000000000000
2006,2008,2,24,657,3.65,30,898,3.34,1,3.9666666666666667
2007,2007,0,615,615,100.00,820,820,100.00,1,3.6609756097560976
2007,2008,1,30,615,4.88,46,820,5.61,1,3.6195652173913043
2008,2008,0,607,607,100.00,829,829,100.00,1,3.6423401688781665
