join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,13828,13828,100.00,44310,44310,100.00,3,3.7083276912660799
1996,1997,1,680,13828,4.92,2188,44310,4.94,3,3.6974405850091408
1996,1998,2,11,13828,0.08,13,44310,0.03,1,4.2307692307692308
1997,1997,0,4791,4791,100.00,17342,17342,100.00,3,3.7141044862184292
1997,1998,1,165,4791,3.44,727,17342,4.19,4,3.5199449793672627
1997,1999,2,63,4791,1.31,269,17342,1.55,4,3.5204460966542751
1997,2000,3,54,4791,1.13,290,17342,1.67,5,3.5344827586206897
1997,2001,4,35,4791,0.73,155,17342,0.89,4,3.4903225806451613
1997,2002,5,28,4791,0.58,117,17342,0.67,4,3.5042735042735043
1997,2003,6,33,4791,0.69,216,17342,1.25,6,3.6296296296296296
1997,2004,7,26,4791,0.54,161,17342,0.93,6,3.2919254658385093
1997,2005,8,27,4791,0.56,130,17342,0.75,4,3.4653846153846154
1997,2006,9,21,4791,0.44,86,17342,0.50,4,3.5581395348837209
1997,2007,10,13,4791,0.27,51,17342,0.29,3,3.4215686274509804
1997,2008,11,12,4791,0.25,81,17342,0.47,6,3.3024691358024691
1998,1998,0,1530,1530,100.00,8320,8320,100.00,5,3.6956730769230769
1998,1999,1,95,1530,6.21,379,8320,4.56,3,3.6121372031662269
1998,2000,2,69,1530,4.51,402,8320,4.83,5,3.5771144278606965
1998,2001,3,57,1530,3.73,294,8320,3.53,5,3.5816326530612245
1998,2002,4,41,1530,2.68,179,8320,2.15,4,3.5530726256983240
1998,2003,5,40,1530,2.61,234,8320,2.81,5,3.5641025641025641
1998,2004,6,34,1530,2.22,281,8320,3.38,8,3.6085409252669039
1998,2005,7,34,1530,2.22,143,8320,1.72,4,3.5979020979020979
1998,2006,8,27,1530,1.76,111,8320,1.33,4,3.5225225225225225
1998,2007,9,17,1530,1.11,72,8320,0.87,4,3.6041666666666667
1998,2008,10,13,1530,0.85,49,8320,0.59,3,3.3877551020408163
1999,1999,0,5322,5322,100.00,35502,35502,100.00,6,3.7819559461438792
1999,2000,1,1184,5322,22.25,6085,35502,17.14,5,3.7099424815119145
1999,2001,2,552,5322,10.37,2309,35502,6.50,4,3.6604590731918579
1999,2002,3,439,5322,8.25,1780,35502,5.01,4,3.5561797752808989
1999,2003,4,392,5322,7.37,2083,35502,5.87,5,3.6183389342294767
1999,2004,5,324,5322,6.09,1822,35502,5.13,5,3.6394072447859495
1999,2005,6,259,5322,4.87,1096,35502,3.09,4,3.7887773722627737
1999,2006,7,175,5322,3.29,598,35502,1.68,3,3.6421404682274247
1999,2007,8,139,5322,2.61,629,35502,1.77,4,3.6470588235294118
1999,2008,9,105,5322,1.97,384,35502,1.08,3,3.5481770833333333
2000,2000,0,7082,7082,100.00,49389,49389,100.00,6,3.7487294741744113
2000,2001,1,898,7082,12.68,3983,49389,8.06,4,3.6555360281195079
2000,2002,2,527,7082,7.44,2261,49389,4.58,4,3.5816010614772225
2000,2003,3,425,7082,6.00,2548,49389,5.16,5,3.5810439560439560
2000,2004,4,364,7082,5.14,2048,49389,4.15,5,3.6142578125000000
2000,2005,5,300,7082,4.24,1393,49389,2.82,4,3.6464465183058148
2000,2006,6,202,7082,2.85,832,49389,1.68,4,3.5847355769230769
2000,2007,7,156,7082,2.20,728,49389,1.47,4,3.5782967032967033
2000,2008,8,150,7082,2.12,642,49389,1.30,4,3.6144859813084112
2001,2001,0,4061,4061,100.00,25820,25820,100.00,6,3.7184353214562355
2001,2002,1,478,4061,11.77,2135,25820,8.27,4,3.6187353629976581
2001,2003,2,311,4061,7.66,1762,25820,6.82,5,3.5774687854710556
2001,2004,3,248,4061,6.11,1486,25820,5.76,5,3.6483849259757739
2001,2005,4,188,4061,4.63,866,25820,3.35,4,3.6709006928406467
2001,2006,5,126,4061,3.10,559,25820,2.16,4,3.5339892665474061
