join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,6147,6147,100.00,8754,8754,100.00,1,3.5018277358921636
1996,1997,1,148,6147,2.41,221,8754,2.52,1,3.5791855203619910
1997,1997,0,2394,2394,100.00,3620,3620,100.00,1,3.5483425414364641
1997,1998,1,40,2394,1.67,83,3620,2.29,2,3.4457831325301205
1997,1999,2,18,2394,0.75,25,3620,0.69,1,3.4000000000000000
1997,2000,3,14,2394,0.58,21,3620,0.58,1,3.2857142857142857
1997,2001,4,9,2394,0.38,15,3620,0.41,1,3.4666666666666667
1997,2002,5,8,2394,0.33,12,3620,0.33,1,2.7500000000000000
1997,2003,6,11,2394,0.46,27,3620,0.75,2,3.5925925925925926
1997,2004,7,10,2394,0.42,20,3620,0.55,2,3.3750000000000000
1997,2005,8,9,2394,0.38,10,3620,0.28,1,3.2500000000000000
1997,2006,9,6,2394,0.25,11,3620,0.30,1,3.4545454545454545
1997,2007,10,4,2394,0.17,4,3620,0.11,1,3.3750000000000000
1997,2008,11,6,2394,0.25,10,3620,0.28,1,3.2000000000000000
1998,1998,0,818,818,100.00,1631,1631,100.00,1,3.4745554874310239
1998,1999,1,40,818,4.89,67,1631,4.11,1,3.4925373134328358
1998,2000,2,27,818,3.30,58,1631,3.56,2,3.2586206896551724
1998,2001,3,23,818,2.81,40,1631,2.45,1,3.7000000000000000
1998,2002,4,20,818,2.44,28,1631,1.72,1,3.7857142857142857
1998,2003,5,15,818,1.83,23,1631,1.41,1,3.9347826086956522
1998,2004,6,14,818,1.71,26,1631,1.59,1,3.3461538461538462
1998,2005,7,12,818,1.47,14,1631,0.86,1,3.2500000000000000
1998,2006,8,7,818,0.86,13,1631,0.80,1,3.6923076923076923
1998,2007,9,8,818,0.98,13,1631,0.80,1,3.4230769230769231
1998,2008,10,6,818,0.73,9,1631,0.55,1,3.5555555555555556
1999,1999,0,3180,3180,100.00,7138,7138,100.00,2,3.5504342953208182
1999,2000,1,387,3180,12.17,690,7138,9.67,1,3.4159420289855072
1999,2001,2,169,3180,5.31,258,7138,3.61,1,3.5426356589147287
1999,2002,3,141,3180,4.43,222,7138,3.11,1,3.4774774774774775
1999,2003,4,139,3180,4.37,233,7138,3.26,1,3.6459227467811159
1999,2004,5,116,3180,3.65,225,7138,3.15,1,3.5866666666666667
1999,2005,6,80,3180,2.52,116,7138,1.63,1,3.4396551724137931
1999,2006,7,65,3180,2.04,101,7138,1.41,1,3.5247524752475248
1999,2007,8,65,3180,2.04,98,7138,1.37,1,3.7500000000000000
