join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,307,307,100.00,327,327,100.00,1,3.8134556574923547
1996,1997,1,4,307,1.30,5,327,1.53,1,4.2000000000000000
1996,1998,2,1,307,0.33,1,327,0.31,1,4.0000000000000000
1997,1997,0,380,380,100.00,434,434,100.00,1,3.8894009216589862
1997,1998,1,5,380,1.32,5,434,1.15,1,3.4000000000000000
1997,2000,3,4,380,1.05,4,434,0.92,1,4.0000000000000000
1997,2003,6,3,380,0.79,3,434,0.69,1,3.8333333333333333
1997,2004,7,2,380,0.53,3,434,0.69,1,4.1666666666666667
1997,2005,8,2,380,0.53,2,434,0.46,1,3.5000000000000000
1997,2006,9,1,380,0.26,1,434,0.23,1,4.0000000000000000
1998,1998,0,275,275,100.00,336,336,100.00,1,3.9672619047619048
1998,1999,1,4,275,1.45,4,336,1.19,1,3.5000000000000000
1998,2000,2,4,275,1.45,4,336,1.19,1,3.7500000000000000
1998,2001,3,1,275,0.36,2,336,0.60,2,4.0000000000000000
1998,2002,4,1,275,0.36,1,336,0.30,1,4.0000000000000000
1998,2003,5,1,275,0.36,2,336,0.60,2,3.5000000000000000
1998,2004,6,4,275,1.45,7,336,2.08,1,3.8571428571428571
1998,2005,7,2,275,0.73,2,336,0.60,1,4.0000000000000000
1998,2006,8,2,275,0.73,4,336,1.19,2,4.2500000000000000
1999,1999,0,1199,1199,100.00,1590,1590,100.00,1,4.1540880503144654
1999,2000,1,53,1199,4.42,60,1590,3.77,1,4.0666666666666667
1999,2001,2,32,1199,2.67,36,1590,2.26,1,3.9444444444444444
1999,2002,3,22,1199,1.83,29,1590,1.82,1,3.7931034482758621
1999,2003,4,19,1199,1.58,21,1590,1.32,1,3.8809523809523810
1999,2004,5,13,1199,1.08,16,1590,1.01,1,4.1250000000000000
1999,2005,6,21,1199,1.75,29,1590,1.82,1,4.1379310344827586
1999,2006,7,8,1199,0.67,10,1590,0.63,1,4.1000000000000000
1999,2007,8,5,1199,0.42,5,1590,0.31,1,3.6000000000000000
1999,2008,9,5,1199,0.42,6,1590,0.38,1,4.0833333333333333
2000,2000,0,1506,1506,100.00,2030,2030,100.00,1,4.1487684729064039
2000,2001,1,47,1506,3.12,53,2030,2.61,1,4.0000000000000000
2000,2002,2,27,1506,1.79,30,2030,1.48,1,3.9000000000000000
2000,2003,3,20,1506,1.33,22,2030,1.08,1,3.7045454545454545
2000,2004,4,22,1506,1.46,30,2030,1.48,1,4.0500000000000000
2000,2005,5,21,1506,1.39,25,2030,1.23,1,3.8400000000000000
2000,2006,6,15,1506,1.00,15,2030,0.74,1,3.6666666666666667
2000,2007,7,13,1506,0.86,22,2030,1.08,1,3.7045454545454545
2000,2008,8,10,1506,0.66,13,2030,0.64,1,3.7307692307692308
2001,2001,0,703,703,100.00,917,917,100.00,1,4.0981461286804798
2001,2002,1,24,703,3.41,27,917,2.94,1,3.9629629629629630
2001,2003,2,15,703,2.13,16,917,1.74,1,3.6562500000000000
2001,2004,3,13,703,1.85,20,917,2.18,1,3.7500000000000000
2001,2005,4,15,703,2.13,17,917,1.85,1,4.2352941176470588
2001,2006,5,6,703,0.85,6,917,0.65,1,4.0000000000000000
2001,2007,6,3,703,0.43,4,917,0.44,1,3.2500000000000000
2001,2008,7,7,703,1.00,10,917,1.09,1,3.7500000000000000
2002,2002,0,519,519,100.00,677,677,100.00,1,4.0649926144756278
2002,2003,1,27,519,5.20,29,677,4.28,1,3.6724137931034483
2002,2004,2,14,519,2.70,18,677,2.66,1,3.9722222222222222
2002,2005,3,12,519,2.31,13,677,1.92,1,3.8076923076923077
2002,2006,4,9,519,1.73,13,677,1.92,1,3.7307692307692308
2002,2007,5,4,519,0.77,4,677,0.59,1,3.7500000000000000
2002,2008,6,5,519,0.96,5,677,0.74,1,4.0000000000000000
2003,2003,0,558,558,100.00,713,713,100.00,1,4.0848527349228612
2003,2004,1,24,558,4.30,31,713,4.35,1,3.9838709677419355
2003,2005,2,24,558,4.30,31,713,4.35,1,4.2580645161290323
2003,2006,3,13,558,2.33,24,713,3.37,1,3.8541666666666667
2003,2007,4,11,558,1.97,14,713,1.96,1,3.4642857142857143
2003,2008,5,4,558,0.72,5,713,0.70,1,3.7000000000000000
2004,2004,0,575,575,100.00,754,754,100.00,1,3.9190981432360743
2004,2005,1,29,575,5.04,36,754,4.77,1,3.9305555555555556
2004,2006,2,15,575,2.61,24,754,3.18,1,4.1041666666666667
2004,2007,3,18,575,3.13,19,754,2.52,1,3.6842105263157895
2004,2008,4,8,575,1.39,9,754,1.19,1,3.6111111111111111
2005,2005,0,990,990,100.00,1345,1345,100.00,1,3.9743494423791822
2005,2006,1,42,990,4.24,54,1345,4.01,1,3.9444444444444444
2005,2007,2,20,990,2.02,26,1345,1.93,1,3.6346153846153846
2005,2008,3,26,990,2.63,32,1345,2.38,1,4.1718750000000000
2006,2006,0,701,701,100.00,993,993,100.00,1,3.9592145015105740
2006,2007,1,39,701,5.56,53,993,5.34,1,3.8396226415094340
2006,2008,2,14,701,2.00,20,993,2.01,1,3.5500000000000000
2007,2007,0,672,672,100.00,895,895,100.00,1,3.8877094972067039
2007,2008,1,39,672,5.80,47,895,5.25,1,3.8829787234042553
2008,2008,0,738,738,100.00,944,944,100.00,1,3.9412076271186441
