join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,4041,4041,100.00,5184,5184,100.00,1,3.5769675925925926
1996,1997,1,83,4041,2.05,135,5184,2.60,1,3.4148148148148148
1996,1998,2,6,4041,0.15,6,5184,0.12,1,3.3333333333333333
1997,1997,0,1405,1405,100.00,2335,2335,100.00,1,3.4321199143468951
1997,1998,1,32,1405,2.28,64,2335,2.74,2,2.9218750000000000
1997,1999,2,17,1405,1.21,33,2335,1.41,1,2.8787878787878788
1997,2000,3,10,1405,0.71,16,2335,0.69,1,2.9375000000000000
1997,2001,4,12,1405,0.85,23,2335,0.99,1,2.6086956521739130
1997,2002,5,3,1405,0.21,5,2335,0.21,1,2.8000000000000000
1997,2003,6,5,1405,0.36,7,2335,0.30,1,2.5714285714285714
1997,2004,7,8,1405,0.57,21,2335,0.90,2,2.8333333333333333
1997,2005,8,5,1405,0.36,8,2335,0.34,1,2.5000000000000000
1997,2006,9,3,1405,0.21,6,2335,0.26,2,2.5000000000000000
1997,2008,11,2,1405,0.14,2,2335,0.09,1,1.7500000000000000
1998,1998,0,721,721,100.00,1713,1713,100.00,2,3.2270869819030940
1998,1999,1,41,721,5.69,61,1713,3.56,1,3.1967213114754098
1998,2000,2,22,721,3.05,62,1713,3.62,2,2.9838709677419355
1998,2001,3,17,721,2.36,49,1713,2.86,2,2.6326530612244898
1998,2002,4,11,721,1.53,23,1713,1.34,2,3.1739130434782609
1998,2003,5,11,721,1.53,24,1713,1.40,2,3.2500000000000000
1998,2004,6,9,721,1.25,17,1713,0.99,1,3.1470588235294118
1998,2005,7,5,721,0.69,7,1713,0.41,1,3.5000000000000000
1998,2006,8,4,721,0.55,5,1713,0.29,1,3.4000000000000000
1998,2007,9,3,721,0.42,5,1713,0.29,1,3.0000000000000000
1998,2008,10,4,721,0.55,4,1713,0.23,1,3.3750000000000000
1999,1999,0,2535,2535,100.00,5783,5783,100.00,2,3.2828981497492651
1999,2000,1,297,2535,11.72,547,5783,9.46,1,3.0402193784277879
1999,2001,2,122,2535,4.81,222,5783,3.84,1,2.9144144144144144
1999,2002,3,90,2535,3.55,201,5783,3.48,2,2.4676616915422886
1999,2003,4,92,2535,3.63,146,5783,2.52,1,3.1369863013698630
1999,2004,5,79,2535,3.12,143,5783,2.47,1,3.1083916083916084
