join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1998,1998,0,7,7,100.00,7,7,100.00,1,4.0000000000000000
1999,1999,0,38,38,100.00,38,38,100.00,1,3.5789473684210526
2000,2000,0,90,90,100.00,90,90,100.00,1,3.8222222222222222
2000,2005,5,1,90,1.11,1,90,1.11,1,2.5000000000000000
2001,2001,0,53,53,100.00,53,53,100.00,1,3.4150943396226415
2002,2002,0,45,45,100.00,45,45,100.00,1,3.6888888888888889
2002,2004,2,1,45,2.22,1,45,2.22,1,3.5000000000000000
2003,2003,0,47,47,100.00,47,47,100.00,1,3.5531914893617021
2003,2004,1,1,47,2.13,1,47,2.13,1,4.0000000000000000
2003,2005,2,1,47,2.13,1,47,2.13,1,3.5000000000000000
2003,2007,4,1,47,2.13,1,47,2.13,1,3.0000000000000000
2003,2008,5,1,47,2.13,1,47,2.13,1,2.0000000000000000
2004,2004,0,45,45,100.00,47,47,100.00,1,3.7021276595744681
2004,2005,1,1,45,2.22,1,47,2.13,1,3.5000000000000000
2004,2007,3,1,45,2.22,1,47,2.13,1,3.0000000000000000
2005,2005,0,65,65,100.00,66,66,100.00,1,3.2196969696969697
2005,2008,3,2,65,3.08,2,66,3.03,1,4.7500000000000000
2006,2006,0,39,39,100.00,39,39,100.00,1,3.2820512820512821
2006,2007,1,1,39,2.56,1,39,2.56,1,2.5000000000000000
2007,2007,0,98,98,100.00,99,99,100.00,1,3.5101010101010101
2007,2008,1,3,98,3.06,3,99,3.03,1,5.0000000000000000
2008,2008,0,337,337,100.00,347,347,100.00,1,4.0172910662824207
