join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,4316,4316,100.00,5481,5481,100.00,1,3.6024448093413611
1996,1997,1,84,4316,1.95,113,5481,2.06,1,3.5486725663716814
1996,1998,2,1,4316,0.02,1,5481,0.02,1,2.0000000000000000
1997,1997,0,1592,1592,100.00,2308,2308,100.00,1,3.5554592720970537
1997,1998,1,26,1592,1.63,40,2308,1.73,1,3.2500000000000000
1997,1999,2,8,1592,0.50,14,2308,0.61,1,3.7857142857142857
1997,2000,3,6,1592,0.38,11,2308,0.48,1,3.9090909090909091
1997,2001,4,2,1592,0.13,5,2308,0.22,2,3.8000000000000000
1997,2002,5,1,1592,0.06,1,2308,0.04,1,4.0000000000000000
1997,2003,6,11,1592,0.69,17,2308,0.74,1,3.4117647058823529
1997,2004,7,4,1592,0.25,5,2308,0.22,1,3.5000000000000000
1997,2005,8,3,1592,0.19,6,2308,0.26,2,3.6666666666666667
1997,2006,9,2,1592,0.13,2,2308,0.09,1,3.2500000000000000
1997,2007,10,1,1592,0.06,1,2308,0.04,1,3.5000000000000000
1997,2008,11,2,1592,0.13,4,2308,0.17,2,3.5000000000000000
1998,1998,0,539,539,100.00,980,980,100.00,1,3.5928571428571429
1998,1999,1,17,539,3.15,25,980,2.55,1,3.8000000000000000
1998,2000,2,17,539,3.15,26,980,2.65,1,3.2692307692307692
1998,2001,3,9,539,1.67,12,980,1.22,1,3.5000000000000000
1998,2002,4,4,539,0.74,6,980,0.61,1,2.5000000000000000
1998,2003,5,9,539,1.67,20,980,2.04,2,3.3000000000000000
1998,2004,6,10,539,1.86,23,980,2.35,2,3.5652173913043478
1998,2005,7,3,539,0.56,3,980,0.31,1,3.5000000000000000
1998,2006,8,6,539,1.11,8,980,0.82,1,3.2500000000000000
1998,2007,9,1,539,0.19,1,980,0.10,1,4.5000000000000000
1998,2008,10,4,539,0.74,5,980,0.51,1,4.2000000000000000
1999,1999,0,2078,2078,100.00,4176,4176,100.00,2,3.6764846743295019
1999,2000,1,197,2078,9.48,337,4176,8.07,1,3.5192878338278932
1999,2001,2,75,2078,3.61,107,4176,2.56,1,3.5700934579439252
1999,2002,3,71,2078,3.42,99,4176,2.37,1,3.4848484848484848
1999,2003,4,82,2078,3.95,125,4176,2.99,1,3.4280000000000000
1999,2004,5,61,2078,2.94,100,4176,2.39,1,3.5800000000000000
1999,2005,6,41,2078,1.97,54,4176,1.29,1,3.7222222222222222
1999,2006,7,26,2078,1.25,32,4176,0.77,1,3.4687500000000000
1999,2007,8,22,2078,1.06,31,4176,0.74,1,3.6612903225806452
1999,2008,9,14,2078,0.67,16,4176,0.38,1,3.5937500000000000
2000,2000,0,3016,3016,100.00,6080,6080,100.00,2,3.6646381578947368
2000,2001,1,177,3016,5.87,265,6080,4.36,1,3.4867924528301887
2000,2002,2,92,3016,3.05,119,6080,1.96,1,3.5042016806722689
2000,2003,3,123,3016,4.08,189,6080,3.11,1,3.5264550264550265
2000,2004,4,105,3016,3.48,158,6080,2.60,1,3.4715189873417722
2000,2005,5,63,3016,2.09,96,6080,1.58,1,3.6250000000000000
2000,2006,6,43,3016,1.43,60,6080,0.99,1,3.3500000000000000
2000,2007,7,43,3016,1.43,63,6080,1.04,1,3.5238095238095238
2000,2008,8,39,3016,1.29,50,6080,0.82,1,3.3900000000000000
2001,2001,0,1567,1567,100.00,3009,3009,100.00,1,3.6507145230973745
2001,2002,1,92,1567,5.87,154,3009,5.12,1,3.4480519480519481
2001,2003,2,70,1567,4.47,109,3009,3.62,1,3.6834862385321101
2001,2004,3,67,1567,4.28,99,3009,3.29,1,3.5151515151515152
2001,2005,4,45,1567,2.87,67,3009,2.23,1,3.5298507462686567
2001,2006,5,24,1567,1.53,30,3009,1.00,1,3.3833333333333333
2001,2007,6,15,1567,0.96,21,3009,0.70,1,3.7142857142857143
2001,2008,7,12,1567,0.77,13,3009,0.43,1,3.6153846153846154
2002,2002,0,1147,1147,100.00,2303,2303,100.00,2,3.5922709509335649
2002,2003,1,109,1147,9.50,171,2303,7.43,1,3.5409356725146199
2002,2004,2,73,1147,6.36,120,2303,5.21,1,3.4791666666666667
2002,2005,3,37,1147,3.23,61,2303,2.65,1,3.4426229508196721
2002,2006,4,25,1147,2.18,31,2303,1.35,1,3.4354838709677419
2002,2007,5,19,1147,1.66,27,2303,1.17,1,3.8518518518518519
2002,2008,6,14,1147,1.22,17,2303,0.74,1,3.2647058823529412
2003,2003,0,1381,1381,100.00,2700,2700,100.00,1,3.5270370370370370
2003,2004,1,154,1381,11.15,249,2700,9.22,1,3.4859437751004016
2003,2005,2,77,1381,5.58,122,2700,4.52,1,3.5163934426229508
2003,2006,3,39,1381,2.82,56,2700,2.07,1,3.3035714285714286
2003,2007,4,28,1381,2.03,38,2700,1.41,1,3.3815789473684211
2003,2008,5,20,1381,1.45,24,2700,0.89,1,3.4375000000000000
2004,2004,0,1494,1494,100.00,2851,2851,100.00,1,3.4600140301648544
2004,2005,1,108,1494,7.23,160,2851,5.61,1,3.4406250000000000
2004,2006,2,51,1494,3.41,64,2851,2.24,1,3.4687500000000000
2004,2007,3,33,1494,2.21,42,2851,1.47,1,3.4880952380952381
2004,2008,4,27,1494,1.81,32,2851,1.12,1,3.4843750000000000
2005,2005,0,2624,2624,100.00,5191,5191,100.00,1,3.4730302446542092
2005,2006,1,139,2624,5.30,199,5191,3.83,1,3.4020100502512563
2005,2007,2,63,2624,2.40,79,5191,1.52,1,3.2151898734177215
2005,2008,3,54,2624,2.06,76,5191,1.46,1,3.3618421052631579
2006,2006,0,1559,1559,100.00,2876,2876,100.00,1,3.4438456189151599
2006,2007,1,86,1559,5.52,170,2876,5.91,1,3.1705882352941176
2006,2008,2,64,1559,4.11,91,2876,3.16,1,3.5054945054945055
2007,2007,0,1356,1356,100.00,2506,2506,100.00,1,3.4612928970470870
2007,2008,1,96,1356,7.08,150,2506,5.99,1,3.3033333333333333
2008,2008,0,1609,1609,100.00,2841,2841,100.00,1,3.5086237240408307
