join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,3568,3568,100.00,4383,4383,100.00,1,3.6386036960985626
1996,1997,1,75,3568,2.10,99,4383,2.26,1,3.7171717171717172
1997,1997,0,1405,1405,100.00,1912,1912,100.00,1,3.6652719665271967
1997,1998,1,33,1405,2.35,60,1912,3.14,1,3.1666666666666667
1997,1999,2,13,1405,0.93,16,1912,0.84,1,3.0000000000000000
1997,2000,3,11,1405,0.78,15,1912,0.78,1,2.9333333333333333
1997,2001,4,6,1405,0.43,9,1912,0.47,1,3.5555555555555556
1997,2002,5,7,1405,0.50,12,1912,0.63,1,3.6666666666666667
1997,2003,6,9,1405,0.64,20,1912,1.05,2,3.6500000000000000
1997,2004,7,4,1405,0.28,7,1912,0.37,1,4.0714285714285714
1997,2005,8,5,1405,0.36,7,1912,0.37,1,3.6428571428571429
1997,2006,9,2,1405,0.14,2,1912,0.10,1,3.7500000000000000
1997,2008,11,4,1405,0.28,10,1912,0.52,2,3.3000000000000000
1998,1998,0,712,712,100.00,1224,1224,100.00,1,3.6535947712418301
1998,1999,1,31,712,4.35,42,1224,3.43,1,3.6666666666666667
1998,2000,2,23,712,3.23,41,1224,3.35,1,3.5365853658536585
1998,2001,3,19,712,2.67,36,1224,2.94,1,3.5000000000000000
1998,2002,4,15,712,2.11,18,1224,1.47,1,3.7777777777777778
1998,2003,5,15,712,2.11,21,1224,1.72,1,3.7142857142857143
1998,2004,6,15,712,2.11,34,1224,2.78,2,3.4117647058823529
1998,2005,7,10,712,1.40,14,1224,1.14,1,3.3928571428571429
1998,2006,8,7,712,0.98,10,1224,0.82,1,3.3000000000000000
1998,2007,9,5,712,0.70,10,1224,0.82,2,3.4500000000000000
1998,2008,10,2,712,0.28,2,1224,0.16,1,4.0000000000000000
1999,1999,0,2743,2743,100.00,5066,5066,100.00,1,3.7901697591788393
1999,2000,1,321,2743,11.70,500,5066,9.87,1,3.6040000000000000
1999,2001,2,116,2743,4.23,171,5066,3.38,1,3.5380116959064327
