join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,10754,10754,100.00,23141,23141,100.00,2,3.6192472235426300
1996,1997,1,441,10754,4.10,935,23141,4.04,2,3.6470588235294118
1996,1998,2,6,10754,0.06,6,23141,0.03,1,4.1666666666666667
1997,1997,0,3802,3802,100.00,8659,8659,100.00,2,3.6164684143665550
1997,1998,1,116,3802,3.05,313,8659,3.61,2,3.4664536741214058
1997,1999,2,33,3802,0.87,72,8659,0.83,2,3.3888888888888889
1997,2000,3,31,3802,0.82,89,8659,1.03,2,3.3932584269662921
1997,2001,4,21,3802,0.55,60,8659,0.69,2,3.4500000000000000
1997,2002,5,15,3802,0.39,33,8659,0.38,2,3.4545454545454545
1997,2003,6,23,3802,0.60,77,8659,0.89,3,3.3961038961038961
1997,2004,7,20,3802,0.53,59,8659,0.68,2,3.5084745762711864
1997,2005,8,15,3802,0.39,48,8659,0.55,3,3.3437500000000000
1997,2006,9,13,3802,0.34,24,8659,0.28,1,3.5416666666666667
1997,2007,10,8,3802,0.21,14,8659,0.16,1,3.1071428571428571
1997,2008,11,7,3802,0.18,20,8659,0.23,2,3.5750000000000000
1998,1998,0,1281,1281,100.00,4232,4232,100.00,3,3.6644612476370510
1998,1999,1,79,1281,6.17,201,4232,4.75,2,3.6318407960199005
1998,2000,2,53,1281,4.14,158,4232,3.73,2,3.4113924050632911
1998,2001,3,37,1281,2.89,101,4232,2.39,2,3.3762376237623762
1998,2002,4,29,1281,2.26,75,4232,1.77,2,3.1600000000000000
1998,2003,5,28,1281,2.19,111,4232,2.62,3,3.1441441441441441
1998,2004,6,30,1281,2.34,126,4232,2.98,4,3.4047619047619048
1998,2005,7,19,1281,1.48,51,4232,1.21,2,3.4411764705882353
1998,2006,8,19,1281,1.48,59,4232,1.39,3,3.0000000000000000
1998,2007,9,8,1281,0.62,16,4232,0.38,2,3.4687500000000000
1998,2008,10,9,1281,0.70,14,4232,0.33,1,3.5000000000000000
1999,1999,0,4392,4392,100.00,16388,16388,100.00,3,3.6895289236026361
1999,2000,1,705,4392,16.05,2067,16388,12.61,2,3.5520077406869860
1999,2001,2,333,4392,7.58,819,16388,5.00,2,3.4114774114774115
1999,2002,3,274,4392,6.24,658,16388,4.02,2,3.4316109422492401
1999,2003,4,255,4392,5.81,692,16388,4.22,2,3.5426300578034682
1999,2004,5,226,4392,5.15,628,16388,3.83,2,3.5294585987261146
1999,2005,6,169,4392,3.85,358,16388,2.18,2,3.6368715083798883
1999,2006,7,102,4392,2.32,201,16388,1.23,1,3.6169154228855721
1999,2007,8,79,4392,1.80,199,16388,1.21,2,3.4572864321608040
1999,2008,9,68,4392,1.55,107,16388,0.65,1,3.5046728971962617
2000,2000,0,5641,5641,100.00,21950,21950,100.00,3,3.6530296127562642
2000,2001,1,568,5641,10.07,1480,21950,6.74,2,3.4891891891891892
2000,2002,2,369,5641,6.54,921,21950,4.20,2,3.4462540716612378
2000,2003,3,297,5641,5.27,875,21950,3.99,2,3.4742857142857143
2000,2004,4,254,5641,4.50,759,21950,3.46,2,3.4789196310935441
2000,2005,5,196,5641,3.47,462,21950,2.10,2,3.5725108225108225
2000,2006,6,150,5641,2.66,317,21950,1.44,2,3.4747634069400631
2000,2007,7,96,5641,1.70,223,21950,1.02,2,3.5896860986547085
2000,2008,8,107,5641,1.90,222,21950,1.01,2,3.5180180180180180
2001,2001,0,3178,3178,100.00,11253,11253,100.00,3,3.6012618857193637
2001,2002,1,321,3178,10.10,876,11253,7.78,2,3.4383561643835616
2001,2003,2,220,3178,6.92,678,11253,6.03,3,3.5162241887905605
2001,2004,3,191,3178,6.01,635,11253,5.64,3,3.5818897637795276
2001,2005,4,139,3178,4.37,381,11253,3.39,2,3.5944881889763780
2001,2006,5,102,3178,3.21,217,11253,1.93,2,3.4792626728110599
2001,2007,6,53,3178,1.67,114,11253,1.01,2,3.3421052631578947
2001,2008,7,52,3178,1.64,118,11253,1.05,2,3.2372881355932203
2002,2002,0,2122,2122,100.00,8022,8022,100.00,3,3.5344053851907255
2002,2003,1,281,2122,13.24,907,8022,11.31,3,3.4889746416758545
2002,2004,2,206,2122,9.71,601,8022,7.49,2,3.4484193011647255
2002,2005,3,145,2122,6.83,306,8022,3.81,2,3.5343137254901961
