join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,8444,8444,100.00,13305,13305,100.00,1,3.4067643742953777
1996,1997,1,261,8444,3.09,440,13305,3.31,1,3.6727272727272727
1996,1998,2,7,8444,0.08,7,13305,0.05,1,3.0000000000000000
1997,1997,0,3279,3279,100.00,5886,5886,100.00,1,3.6253822629969419
1997,1998,1,67,3279,2.04,147,5886,2.50,2,3.1088435374149660
1997,1999,2,28,3279,0.85,71,5886,1.21,2,3.0563380281690141
1997,2000,3,27,3279,0.82,70,5886,1.19,2,3.4142857142857143
1997,2001,4,17,3279,0.52,38,5886,0.65,2,3.1842105263157895
1997,2002,5,12,3279,0.37,23,5886,0.39,1,3.1304347826086957
1997,2003,6,12,3279,0.37,39,5886,0.66,3,3.3076923076923077
1997,2004,7,12,3279,0.37,26,5886,0.44,2,2.6346153846153846
1997,2005,8,8,3279,0.24,19,5886,0.32,2,3.1578947368421053
1997,2006,9,5,3279,0.15,9,5886,0.15,1,2.6666666666666667
1997,2007,10,6,3279,0.18,7,5886,0.12,1,3.8571428571428571
1997,2008,11,8,3279,0.24,17,5886,0.29,2,3.0882352941176471
1998,1998,0,1042,1042,100.00,2929,2929,100.00,2,3.4421304199385456
1998,1999,1,63,1042,6.05,123,2929,4.20,1,3.3089430894308943
1998,2000,2,36,1042,3.45,93,2929,3.18,2,3.2258064516129032
1998,2001,3,26,1042,2.50,66,2929,2.25,2,3.2727272727272727
1998,2002,4,18,1042,1.73,23,2929,0.79,1,3.1304347826086957
1998,2003,5,27,1042,2.59,61,2929,2.08,2,3.3852459016393443
1998,2004,6,20,1042,1.92,51,2929,1.74,2,3.0882352941176471
1998,2005,7,13,1042,1.25,23,2929,0.79,1,3.7826086956521739
1998,2006,8,7,1042,0.67,12,2929,0.41,1,3.6666666666666667
1998,2007,9,7,1042,0.67,12,2929,0.41,1,3.0000000000000000
1998,2008,10,9,1042,0.86,11,2929,0.38,1,3.1363636363636364
1999,1999,0,3559,3559,100.00,11538,11538,100.00,3,3.4406309585716762
1999,2000,1,453,3559,12.73,1057,11538,9.16,2,3.2213812677388836
