join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,12901,12901,100.00,31441,31441,100.00,2,3.5653764193250851
1996,1997,1,500,12901,3.88,1118,31441,3.56,2,3.5670840787119857
1996,1998,2,7,12901,0.05,8,31441,0.03,1,3.5000000000000000
1997,1997,0,4562,4562,100.00,11891,11891,100.00,2,3.5187116306450256
1997,1998,1,112,4562,2.46,366,11891,3.08,3,3.2295081967213115
1997,1999,2,43,4562,0.94,123,11891,1.03,2,3.1544715447154472
1997,2000,3,40,4562,0.88,130,11891,1.09,3,3.3846153846153846
1997,2001,4,28,4562,0.61,69,11891,0.58,2,3.3043478260869565
1997,2002,5,24,4562,0.53,62,11891,0.52,2,3.4032258064516129
1997,2003,6,24,4562,0.53,92,11891,0.77,3,3.4945652173913043
1997,2004,7,20,4562,0.44,76,11891,0.64,3,2.8289473684210526
1997,2005,8,17,4562,0.37,44,11891,0.37,2,3.4090909090909091
1997,2006,9,11,4562,0.24,38,11891,0.32,3,3.3026315789473684
1997,2007,10,5,4562,0.11,11,11891,0.09,2,3.5909090909090909
1997,2008,11,8,4562,0.18,45,11891,0.38,5,2.9444444444444444
1998,1998,0,1351,1351,100.00,5167,5167,100.00,3,3.4784207470485775
1998,1999,1,82,1351,6.07,215,5167,4.16,2,3.5441860465116279
1998,2000,2,51,1351,3.77,169,5167,3.27,3,3.3254437869822485
1998,2001,3,46,1351,3.40,146,5167,2.83,3,3.3972602739726027
1998,2002,4,30,1351,2.22,77,5167,1.49,2,3.3376623376623377
1998,2003,5,27,1351,2.00,77,5167,1.49,2,3.4025974025974026
1998,2004,6,31,1351,2.29,113,5167,2.19,3,3.3893805309734513
1998,2005,7,26,1351,1.92,58,5167,1.12,2,3.3793103448275862
1998,2006,8,23,1351,1.70,55,5167,1.06,2,3.6272727272727273
1998,2007,9,19,1351,1.41,33,5167,0.64,1,3.5151515151515152
1998,2008,10,14,1351,1.04,22,5167,0.43,1,3.4318181818181818
1999,1999,0,4432,4432,100.00,17383,17383,100.00,3,3.5916700224357131
1999,2000,1,795,4432,17.94,2443,17383,14.05,3,3.3945968072042571
1999,2001,2,354,4432,7.99,920,17383,5.29,2,3.3630434782608696
1999,2002,3,295,4432,6.66,734,17383,4.22,2,3.2847411444141689
1999,2003,4,274,4432,6.18,822,17383,4.73,3,3.3801703163017032
1999,2004,5,229,4432,5.17,674,17383,3.88,2,3.3939169139465875
1999,2005,6,151,4432,3.41,363,17383,2.09,2,3.5633608815426997
1999,2006,7,105,4432,2.37,237,17383,1.36,2,3.5337552742616034
1999,2007,8,93,4432,2.10,265,17383,1.52,2,3.5415094339622642
1999,2008,9,63,4432,1.42,151,17383,0.87,2,3.4768211920529801
2000,2000,0,6065,6065,100.00,27706,27706,100.00,4,3.5678192449288963
2000,2001,1,611,6065,10.07,1764,27706,6.37,2,3.4263038548752834
2000,2002,2,389,6065,6.41,1024,27706,3.70,2,3.4062500000000000
2000,2003,3,343,6065,5.66,1140,27706,4.11,3,3.4394736842105263
2000,2004,4,278,6065,4.58,895,27706,3.23,3,3.4290502793296089
2000,2005,5,218,6065,3.59,583,27706,2.10,2,3.4828473413379074
2000,2006,6,159,6065,2.62,381,27706,1.38,2,3.4396325459317585
2000,2007,7,133,6065,2.19,384,27706,1.39,2,3.3802083333333333
2000,2008,8,106,6065,1.75,279,27706,1.01,2,3.4462365591397849
2001,2001,0,3527,3527,100.00,15571,15571,100.00,4,3.5577676449810545
2001,2002,1,381,3527,10.80,1133,15571,7.28,2,3.4430714916151809
2001,2003,2,272,3527,7.71,968,15571,6.22,3,3.4860537190082645
2001,2004,3,199,3527,5.64,739,15571,4.75,3,3.4269282814614344
2001,2005,4,145,3527,4.11,397,15571,2.55,2,3.4911838790931990
2001,2006,5,107,3527,3.03,283,15571,1.82,2,3.3886925795053004
2001,2007,6,75,3527,2.13,207,15571,1.33,2,3.4975845410628019
2001,2008,7,63,3527,1.79,166,15571,1.07,2,3.5421686746987952
2002,2002,0,2303,2303,100.00,10730,10730,100.00,4,3.5013047530288910
2002,2003,1,346,2303,15.02,1150,10730,10.72,3,3.4086956521739130
2002,2004,2,216,2303,9.38,815,10730,7.60,3,3.3766871165644172
2002,2005,3,144,2303,6.25,411,10730,3.83,2,3.3783454987834550
2002,2006,4,99,2303,4.30,264,10730,2.46,2,3.3295454545454545
2002,2007,5,80,2303,3.47,211,10730,1.97,2,3.3672985781990521
2002,2008,6,75,2303,3.26,159,10730,1.48,2,3.3553459119496855
2003,2003,0,2622,2622,100.00,12132,12132,100.00,4,3.4913864160896802
2003,2004,1,446,2622,17.01,1684,12132,13.88,3,3.4201306413301663
2003,2005,2,238,2622,9.08,696,12132,5.74,2,3.4856321839080460
2003,2006,3,186,2622,7.09,562,12132,4.63,3,3.3576512455516014
2003,2007,4,130,2622,4.96,352,12132,2.90,2,3.3664772727272727
2003,2008,5,101,2622,3.85,260,12132,2.14,2,3.3153846153846154
2004,2004,0,2695,2695,100.00,13720,13720,100.00,5,3.4137026239067055
2004,2005,1,385,2695,14.29,1298,13720,9.46,3,3.3971494607087827
2004,2006,2,230,2695,8.53,721,13720,5.26,3,3.3710124826629681
2004,2007,3,164,2695,6.09,440,13720,3.21,2,3.5431818181818182
2004,2008,4,107,2695,3.97,316,13720,2.30,2,3.4636075949367089
2005,2005,0,4716,4716,100.00,26013,26013,100.00,5,3.4204244031830239
2005,2006,1,592,4716,12.55,1913,26013,7.35,3,3.3700993204391009
2005,2007,2,358,4716,7.59,1096,26013,4.21,3,3.3572080291970803
2005,2008,3,243,4716,5.15,735,26013,2.83,3,3.4306122448979592
