join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,4823,4823,100.00,5951,5951,100.00,1,3.9225340278944715
1996,1997,1,89,4823,1.85,116,5951,1.95,1,3.9482758620689655
1997,1997,0,1747,1747,100.00,2493,2493,100.00,1,3.8331327717609306
1997,1998,1,33,1747,1.89,48,2493,1.93,1,3.5208333333333333
1997,1999,2,13,1747,0.74,17,2493,0.68,1,3.6470588235294118
1997,2000,3,6,1747,0.34,12,2493,0.48,2,3.5000000000000000
1997,2001,4,5,1747,0.29,8,2493,0.32,1,2.8750000000000000
1997,2002,5,3,1747,0.17,6,2493,0.24,2,3.6666666666666667
1997,2003,6,10,1747,0.57,15,2493,0.60,1,3.9000000000000000
1997,2004,7,8,1747,0.46,11,2493,0.44,1,3.7727272727272727
1997,2005,8,6,1747,0.34,8,2493,0.32,1,3.6250000000000000
1997,2006,9,7,1747,0.40,11,2493,0.44,1,3.6818181818181818
1997,2007,10,2,1747,0.11,2,2493,0.08,1,3.7500000000000000
1997,2008,11,3,1747,0.17,7,2493,0.28,2,3.3571428571428571
1998,1998,0,780,780,100.00,1302,1302,100.00,1,3.8394777265745008
1998,1999,1,24,780,3.08,36,1302,2.76,1,3.4722222222222222
1998,2000,2,21,780,2.69,29,1302,2.23,1,3.4137931034482759
1998,2001,3,8,780,1.03,10,1302,0.77,1,3.1000000000000000
1998,2002,4,13,780,1.67,17,1302,1.31,1,3.7058823529411765
1998,2003,5,12,780,1.54,25,1302,1.92,2,3.8000000000000000
1998,2004,6,8,780,1.03,16,1302,1.23,2,3.7500000000000000
1998,2005,7,4,780,0.51,6,1302,0.46,1,3.3333333333333333
1998,2006,8,4,780,0.51,4,1302,0.31,1,3.7500000000000000
1998,2007,9,6,780,0.77,7,1302,0.54,1,3.6428571428571429
1998,2008,10,3,780,0.38,4,1302,0.31,1,3.7500000000000000
1999,1999,0,2752,2752,100.00,5041,5041,100.00,1,3.9271969847252529
1999,2000,1,261,2752,9.48,389,5041,7.72,1,3.7043701799485861
1999,2001,2,108,2752,3.92,153,5041,3.04,1,3.7647058823529412
1999,2002,3,76,2752,2.76,101,5041,2.00,1,3.6138613861386139
1999,2003,4,96,2752,3.49,142,5041,2.82,1,3.6795774647887324
1999,2004,5,75,2752,2.73,119,5041,2.36,1,3.6176470588235294
1999,2005,6,54,2752,1.96,87,5041,1.73,1,3.8275862068965517
1999,2006,7,29,2752,1.05,42,5041,0.83,1,3.7857142857142857
1999,2007,8,27,2752,0.98,51,5041,1.01,1,3.6372549019607843
1999,2008,9,20,2752,0.73,29,5041,0.58,1,3.4827586206896552
2000,2000,0,3674,3674,100.00,7184,7184,100.00,1,3.9007516703786192
2000,2001,1,208,3674,5.66,298,7184,4.15,1,3.7818791946308725
2000,2002,2,112,3674,3.05,163,7184,2.27,1,3.6748466257668712
2000,2003,3,117,3674,3.18,183,7184,2.55,1,3.6448087431693989
2000,2004,4,112,3674,3.05,178,7184,2.48,1,3.6544943820224719
2000,2005,5,82,3674,2.23,121,7184,1.68,1,3.8429752066115702
2000,2006,6,50,3674,1.36,67,7184,0.93,1,3.5522388059701493
2000,2007,7,41,3674,1.12,55,7184,0.77,1,3.7454545454545455
2000,2008,8,40,3674,1.09,58,7184,0.81,1,3.5258620689655172
2001,2001,0,2082,2082,100.00,3824,3824,100.00,1,3.8553870292887029
2001,2002,1,138,2082,6.63,197,3824,5.15,1,3.5939086294416244
2001,2003,2,96,2082,4.61,148,3824,3.87,1,3.6554054054054054
2001,2004,3,79,2082,3.79,141,3824,3.69,1,3.6347517730496454
2001,2005,4,51,2082,2.45,67,3824,1.75,1,3.8731343283582090
2001,2006,5,34,2082,1.63,44,3824,1.15,1,3.6590909090909091
2001,2007,6,20,2082,0.96,27,3824,0.71,1,3.5925925925925926
2001,2008,7,26,2082,1.25,40,3824,1.05,1,3.8375000000000000
2002,2002,0,1340,1340,100.00,2534,2534,100.00,1,3.7355958958168903
2002,2003,1,102,1340,7.61,177,2534,6.99,1,3.6949152542372881
2002,2004,2,77,1340,5.75,121,2534,4.78,1,3.5454545454545455
2002,2005,3,56,1340,4.18,78,2534,3.08,1,3.6858974358974359
2002,2006,4,30,1340,2.24,47,2534,1.85,1,3.5106382978723404
2002,2007,5,20,1340,1.49,26,2534,1.03,1,3.7115384615384615
2002,2008,6,29,1340,2.16,34,2534,1.34,1,3.4852941176470588
2003,2003,0,1520,1520,100.00,2812,2812,100.00,1,3.6966571834992888
2003,2004,1,178,1520,11.71,293,2812,10.42,1,3.5614334470989761
2003,2005,2,83,1520,5.46,118,2812,4.20,1,3.8093220338983051
2003,2006,3,48,1520,3.16,83,2812,2.95,1,3.4337349397590361
2003,2007,4,42,1520,2.76,57,2812,2.03,1,3.5964912280701754
2003,2008,5,38,1520,2.50,49,2812,1.74,1,3.4081632653061224
2004,2004,0,1764,1764,100.00,3250,3250,100.00,1,3.6532307692307692
2004,2005,1,154,1764,8.73,236,3250,7.26,1,3.6250000000000000
2004,2006,2,99,1764,5.61,140,3250,4.31,1,3.5785714285714286
2004,2007,3,64,1764,3.63,81,3250,2.49,1,3.6234567901234568
2004,2008,4,42,1764,2.38,66,3250,2.03,1,3.5378787878787879
2005,2005,0,2891,2891,100.00,5874,5874,100.00,2,3.6170411985018727
2005,2006,1,171,2891,5.91,261,5874,4.44,1,3.5459770114942529
2005,2007,2,97,2891,3.36,143,5874,2.43,1,3.6118881118881119
2005,2008,3,80,2891,2.77,101,5874,1.72,1,3.6485148514851485
2006,2006,0,1892,1892,100.00,3579,3579,100.00,1,3.6693210393964795
2006,2007,1,139,1892,7.35,258,3579,7.21,1,3.5523255813953488
2006,2008,2,87,1892,4.60,112,3579,3.13,1,3.5669642857142857
2007,2007,0,1713,1713,100.00,3310,3310,100.00,1,3.7166163141993958
2007,2008,1,155,1713,9.05,262,3310,7.92,1,3.5343511450381679
2008,2008,0,2033,2033,100.00,3628,3628,100.00,1,3.7511025358324146
