join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,3007,3007,100.00,3420,3420,100.00,1,3.5549707602339181
1996,1997,1,22,3007,0.73,26,3420,0.76,1,3.4615384615384615
1997,1997,0,549,549,100.00,693,693,100.00,1,3.6868686868686869
1997,1998,1,7,549,1.28,7,693,1.01,1,3.2857142857142857
1997,1999,2,4,549,0.73,6,693,0.87,1,3.3333333333333333
1997,2002,5,2,549,0.36,4,693,0.58,2,4.2500000000000000
1997,2003,6,2,549,0.36,3,693,0.43,1,3.6666666666666667
1997,2004,7,1,549,0.18,1,693,0.14,1,3.5000000000000000
1997,2005,8,2,549,0.36,3,693,0.43,1,3.8333333333333333
1997,2008,11,4,549,0.73,4,693,0.58,1,3.6250000000000000
1998,1998,0,322,322,100.00,429,429,100.00,1,3.5734265734265734
1998,1999,1,7,322,2.17,13,429,3.03,1,3.1538461538461538
1998,2000,2,6,322,1.86,7,429,1.63,1,3.5714285714285714
1998,2001,3,2,322,0.62,6,429,1.40,3,3.6666666666666667
1998,2003,5,7,322,2.17,9,429,2.10,1,3.0000000000000000
1998,2004,6,4,322,1.24,5,429,1.17,1,3.1000000000000000
1998,2005,7,1,322,0.31,1,429,0.23,1,3.5000000000000000
1998,2006,8,3,322,0.93,5,429,1.17,1,3.3000000000000000
1998,2007,9,1,322,0.31,1,429,0.23,1,3.0000000000000000
1998,2008,10,1,322,0.31,1,429,0.23,1,4.0000000000000000
1999,1999,0,1210,1210,100.00,1641,1641,100.00,1,3.5563680682510664
1999,2000,1,77,1210,6.36,104,1641,6.34,1,3.6057692307692308
1999,2001,2,40,1210,3.31,51,1641,3.11,1,3.6862745098039216
1999,2002,3,22,1210,1.82,24,1641,1.46,1,3.2500000000000000
1999,2003,4,31,1210,2.56,41,1641,2.50,1,3.8170731707317073
1999,2004,5,20,1210,1.65,30,1641,1.83,1,3.3833333333333333
1999,2005,6,15,1210,1.24,21,1641,1.28,1,3.9523809523809524
1999,2006,7,6,1210,0.50,6,1641,0.37,1,3.5833333333333333
1999,2007,8,7,1210,0.58,7,1641,0.43,1,3.4285714285714286
1999,2008,9,7,1210,0.58,8,1641,0.49,1,3.3125000000000000
2000,2000,0,1856,1856,100.00,2778,2778,100.00,1,3.6249100071994240
2000,2001,1,66,1856,3.56,82,2778,2.95,1,3.5853658536585366
2000,2002,2,39,1856,2.10,53,2778,1.91,1,3.3396226415094340
2000,2003,3,39,1856,2.10,66,2778,2.38,1,3.5227272727272727
2000,2004,4,41,1856,2.21,63,2778,2.27,1,3.6269841269841270
2000,2005,5,28,1856,1.51,33,2778,1.19,1,3.7272727272727273
2000,2006,6,17,1856,0.92,21,2778,0.76,1,3.2142857142857143
2000,2007,7,15,1856,0.81,21,2778,0.76,1,3.6904761904761905
2000,2008,8,15,1856,0.81,18,2778,0.65,1,3.4166666666666667
2001,2001,0,1018,1018,100.00,1455,1455,100.00,1,3.6316151202749141
2001,2002,1,37,1018,3.63,51,1455,3.51,1,3.3921568627450980
2001,2003,2,36,1018,3.54,46,1455,3.16,1,3.4021739130434783
2001,2004,3,24,1018,2.36,36,1455,2.47,1,3.6527777777777778
2001,2005,4,17,1018,1.67,18,1455,1.24,1,3.5833333333333333
2001,2006,5,12,1018,1.18,13,1455,0.89,1,3.7692307692307692
2001,2007,6,9,1018,0.88,10,1455,0.69,1,3.4000000000000000
2001,2008,7,5,1018,0.49,7,1455,0.48,1,3.4285714285714286
2002,2002,0,658,658,100.00,997,997,100.00,1,3.5105315947843531
2002,2003,1,40,658,6.08,50,997,5.02,1,3.5600000000000000
2002,2004,2,28,658,4.26,39,997,3.91,1,3.5256410256410256
2002,2005,3,7,658,1.06,9,997,0.90,1,4.0000000000000000
2002,2006,4,9,658,1.37,9,997,0.90,1,3.5555555555555556
2002,2007,5,7,658,1.06,11,997,1.10,1,2.6363636363636364
2002,2008,6,10,658,1.52,14,997,1.40,1,3.2142857142857143
2003,2003,0,784,784,100.00,1091,1091,100.00,1,3.5187901008249313
2003,2004,1,53,784,6.76,78,1091,7.15,1,3.4487179487179487
2003,2005,2,21,784,2.68,27,1091,2.47,1,3.7962962962962963
2003,2006,3,23,784,2.93,33,1091,3.02,1,3.3030303030303030
2003,2007,4,14,784,1.79,16,1091,1.47,1,3.7812500000000000
2003,2008,5,8,784,1.02,8,1091,0.73,1,3.8750000000000000
2004,2004,0,917,917,100.00,1301,1301,100.00,1,3.5138355111452729
2004,2005,1,48,917,5.23,56,1301,4.30,1,3.4821428571428571
2004,2006,2,25,917,2.73,30,1301,2.31,1,3.7000000000000000
2004,2007,3,12,917,1.31,13,1301,1.00,1,3.5000000000000000
2004,2008,4,18,917,1.96,20,1301,1.54,1,3.6750000000000000
2005,2005,0,1464,1464,100.00,2167,2167,100.00,1,3.4559298569450854
2005,2006,1,50,1464,3.42,73,2167,3.37,1,3.4931506849315068
2005,2007,2,28,1464,1.91,35,2167,1.62,1,3.5571428571428571
2005,2008,3,18,1464,1.23,21,2167,0.97,1,3.6428571428571429
2006,2006,0,883,883,100.00,1246,1246,100.00,1,3.5040128410914928
2006,2007,1,33,883,3.74,70,1246,5.62,2,3.4785714285714286
2006,2008,2,19,883,2.15,20,1246,1.61,1,3.6250000000000000
2007,2007,0,751,751,100.00,1083,1083,100.00,1,3.5350877192982456
2007,2008,1,42,751,5.59,54,1083,4.99,1,3.2222222222222222
2008,2008,0,830,830,100.00,1122,1122,100.00,1,3.5975935828877005
