join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1996,1996,0,3550,3550,100.00,6892,6892,100.00,1,3.6722286709228091
1996,1997,1,223,3550,6.28,789,6892,11.45,3,3.7655259822560203
1996,1998,2,1,3550,0.03,1,6892,0.01,1,4.0000000000000000
1997,1997,0,2759,2759,100.00,9809,9809,100.00,3,3.9015190131511877
1997,1998,1,81,2759,2.94,401,9809,4.09,4,3.5311720698254364
1997,1999,2,44,2759,1.59,212,9809,2.16,4,3.5754716981132075
1997,2000,3,32,2759,1.16,191,9809,1.95,5,3.5235602094240838
1997,2001,4,28,2759,1.01,135,9809,1.38,4,3.2592592592592593
1997,2002,5,16,2759,0.58,79,9809,0.81,4,3.4936708860759494
1997,2003,6,19,2759,0.69,163,9809,1.66,8,3.3895705521472393
1997,2004,7,16,2759,0.58,106,9809,1.08,6,3.1084905660377358
1997,2005,8,14,2759,0.51,68,9809,0.69,4,3.5661764705882353
1997,2006,9,11,2759,0.40,36,9809,0.37,3,3.3472222222222222
1997,2007,10,5,2759,0.18,12,9809,0.12,2,3.3333333333333333
1997,2008,11,7,2759,0.25,28,9809,0.29,4,3.4821428571428571
1998,1998,0,1073,1073,100.00,6254,6254,100.00,5,3.7395267029101375
1998,1999,1,72,1073,6.71,334,6254,5.34,4,3.5598802395209581
1998,2000,2,49,1073,4.57,309,6254,4.94,6,3.4368932038834951
1998,2001,3,37,1073,3.45,222,6254,3.55,6,3.2297297297297297
1998,2002,4,27,1073,2.52,98,6254,1.57,3,3.5102040816326531
1998,2003,5,28,1073,2.61,183,6254,2.93,6,3.4262295081967213
1998,2004,6,23,1073,2.14,203,6254,3.25,8,3.5172413793103448
1998,2005,7,22,1073,2.05,61,6254,0.98,2,3.8032786885245902
1998,2006,8,17,1073,1.58,65,6254,1.04,3,3.6153846153846154
1998,2007,9,10,1073,0.93,24,6254,0.38,2,3.7500000000000000
1998,2008,10,9,1073,0.84,14,6254,0.22,1,3.3928571428571429
1999,1999,0,4621,4621,100.00,34219,34219,100.00,7,3.7827814956603057
1999,2000,1,810,4621,17.53,4093,34219,11.96,5,3.6481798192035182
1999,2001,2,361,4621,7.81,1618,34219,4.73,4,3.6199011124845488
1999,2002,3,284,4621,6.15,1145,34219,3.35,4,3.4192139737991266
1999,2003,4,270,4621,5.84,1323,34219,3.87,4,3.5457294028722600
1999,2004,5,241,4621,5.22,1237,34219,3.61,5,3.6164106709781730
1999,2005,6,182,4621,3.94,663,34219,1.94,3,3.8069381598793363
1999,2006,7,92,4621,1.99,234,34219,0.68,2,3.7222222222222222
1999,2007,8,69,4621,1.49,300,34219,0.88,4,3.4566666666666667
1999,2008,9,61,4621,1.32,144,34219,0.42,2,3.7256944444444444
2000,2000,0,6605,6605,100.00,49429,49429,100.00,7,3.7600801149122984
2000,2001,1,651,6605,9.86,3189,49429,6.45,4,3.5522107243650047
2000,2002,2,365,6605,5.53,1576,49429,3.19,4,3.4930203045685279
2000,2003,3,322,6605,4.88,1763,49429,3.57,5,3.4906409529211571
2000,2004,4,269,6605,4.07,1403,49429,2.84,5,3.5762651461154669
2000,2005,5,196,6605,2.97,720,49429,1.46,3,3.6916666666666667
2000,2006,6,119,6605,1.80,377,49429,0.76,3,3.5915119363395225
2000,2007,7,92,6605,1.39,303,49429,0.61,3,3.6485148514851485
2000,2008,8,77,6605,1.17,245,49429,0.50,3,3.7244897959183673
2001,2001,0,3623,3623,100.00,24232,24232,100.00,6,3.7124876196764609
2001,2002,1,342,3623,9.44,1551,24232,6.40,4,3.5119277885235332
2001,2003,2,233,3623,6.43,1206,24232,4.98,5,3.5907960199004975
2001,2004,3,185,3623,5.11,1071,24232,4.42,5,3.6083099906629318
2001,2005,4,139,3623,3.84,482,24232,1.99,3,3.6690871369294606
2001,2006,5,80,3623,2.21,282,24232,1.16,3,3.5017730496453901
2001,2007,6,54,3623,1.49,144,24232,0.59,2,3.6562500000000000
2001,2008,7,44,3623,1.21,130,24232,0.54,2,3.5038461538461538
2002,2002,0,2486,2486,100.00,17493,17493,100.00,7,3.6221345681129595
2002,2003,1,330,2486,13.27,1586,17493,9.07,4,3.4927490542244641
2002,2004,2,217,2486,8.73,1110,17493,6.35,5,3.4558558558558559
2002,2005,3,137,2486,5.51,482,17493,2.76,3,3.6099585062240664
2002,2006,4,72,2486,2.90,236,17493,1.35,3,3.4555084745762712
2002,2007,5,61,2486,2.45,206,17493,1.18,3,3.5631067961165049
2002,2008,6,50,2486,2.01,168,17493,0.96,3,3.7261904761904762
2003,2003,0,2699,2699,100.00,17564,17564,100.00,6,3.6304657253473013
2003,2004,1,424,2699,15.71,2209,17564,12.58,5,3.5479855138071526
2003,2005,2,216,2699,8.00,753,17564,4.29,3,3.6779548472775564
2003,2006,3,135,2699,5.00,479,17564,2.73,3,3.4822546972860125
2003,2007,4,98,2699,3.63,286,17564,1.63,2,3.5104895104895105
2003,2008,5,66,2699,2.45,194,17564,1.10,2,3.5335051546391753
2004,2004,0,2730,2730,100.00,17212,17212,100.00,6,3.5681791773181501
2004,2005,1,351,2730,12.86,1381,17212,8.02,3,3.6060825488776249
2004,2006,2,182,2730,6.67,587,17212,3.41,3,3.5911413969335605
2004,2007,3,119,2730,4.36,296,17212,1.72,2,3.6756756756756757
